,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
0,129,477100,0.0094827296834614
1,157,380278,0.0095012614950862
2,150,441260,0.0095049751012726
3,156,272857,0.0095086911272193
4,98,224152,0.0095198537457138
5,178,182051,0.0095235794728073
6,180,307981,0.0130011246497961
7,157,409028,0.0052354480895712
8,178,271562,0.0044022419107912
9,154,361727,0.0036593981184141
10,172,527880,0.0158679970946125
11,180,1152552,0.0181764491591554
12,169,598455,0.0062804868193048
13,179,500824,0.0107243028292047
14,179,743489,0.0096381107568814
15,161,386917,0.0123342529824563
16,161,449054,0.0087917108463029
17,181,571914,0.010048543934855
18,176,913571,0.0073922125686736
19,175,532608,0.0077620053274365
20,176,222631,0.0124199944015061
21,171,761001,0.0087576139896339
22,177,666381,0.009736165820043
23,112,353108,0.007883645707305998
24,168,277445,0.0097439041950877
25,1,2416320,0.0019448964340994
26,179,221944,0.0050679815231636
27,1,1776960,0.0084689436155441
28,178,919143,0.0088543265729616
29,159,1358963,0.0101116725454518
30,152,1283498,0.0110180894951873
31,180,165742,0.0164789766943318
32,149,340866,0.0079465599819869
33,175,494493,0.0166474126483395
34,176,313945,0.0063032083942810005
35,176,548217,0.0059570566835812
36,180,927125,0.0084341012010789
37,170,129287,0.0091235584733533
38,135,405239,0.0072968561409087
39,180,463777,0.0157912750690207
40,171,513054,0.0057176533907098
41,178,426088,0.0089411610492885
42,175,1174858,0.0161814507492857
43,147,220747,0.0098572728855479
44,180,320739,0.0112841469038223
45,173,359593,0.0098849674009075
46,166,525803,0.0088100051314417
47,165,292636,0.0105180862106311
48,180,298405,0.0142354715878035
49,155,367501,0.0178821472277412
50,172,397319,0.0099809116667066
51,171,318822,0.0099889770496279
52,181,181572,0.0114766168192857
53,180,745239,0.0313827184436716
54,179,691274,0.0100498152708667
55,181,547721,0.0517117512578803
56,167,230717,0.009844686341452
57,178,641409,0.0110508942110557
58,135,600385,0.0061957010688534
59,136,410266,0.0064520189159161
60,122,837574,0.0069181397114261
61,180,284431,0.0180969566616762
62,174,558898,0.0100043340164408
63,156,676371,0.0053425909584972
64,180,130206,0.0070178531522739
65,180,421858,0.0092411211921204
66,169,627948,0.0065682645424909
67,149,1361582,0.0061265509890509
68,169,709273,0.0191268519129753
69,180,176723,0.0182070986145206
70,180,465165,0.0197041490372735
71,174,458045,0.0085849025248267
72,165,447411,0.0052586600281912
73,176,236324,0.011508803750165
74,171,272266,0.0097466265956467
75,180,782139,0.0103677799308929
76,179,486840,0.0112762710531249
77,164,351323,0.0064109168051811
78,149,421428,0.0062715539883619
79,156,893667,0.0105762719819598
80,170,554384,0.0100594756215598
81,143,796221,0.0149691996963464
82,127,234413,0.0141207502674057
83,178,363812,0.0093240731067539
84,124,352652,0.0107305188200231
85,180,1128069,0.0152751642158673
86,166,197695,0.0112319081345557
87,113,514469,0.0101761511937231
88,176,911314,0.0177842509424591
89,166,928374,0.0158028032508631
90,174,817137,0.0255385877536311
91,91,329446,0.0232307263928603
92,178,491560,0.0123845956960487
93,164,322689,0.0119002794062678
94,141,82819,0.0190503295888566
95,169,339303,0.0098571817563277
96,168,523548,0.0219131009927755
97,180,285123,0.0111444248448002
98,177,102270,0.0345033552273196
99,180,779476,0.0183821527452733
100,181,542189,0.0121384721088044
101,181,626622,0.0181497938177837
102,146,286375,0.0172127355527473
103,179,568712,0.0138580227300665
104,179,591696,0.0149403838658893
105,179,831560,0.0189346355567729
106,181,176559,0.0070137906190729
107,172,220751,0.0097226262463159
108,180,518780,0.016715217849027998
109,159,531559,0.0153594537670154
110,160,243500,0.0256449140558054
111,180,685240,0.0152698767990005
112,153,552935,0.0147882141912635
113,146,330917,0.012684564215469998
114,157,329492,0.0095343542867032
115,128,688409,0.0160654924492754
116,174,486634,0.0146308632119012
117,169,251309,0.008234494635481
118,179,395348,0.0183362326092373
119,180,685516,0.0170507102271096
120,180,273114,0.0165961304827089
121,179,495543,0.0187799590979431
122,126,880784,0.0103545957509217
123,167,176312,0.0257453064636264
124,145,251812,0.0251242781244575
125,154,278956,0.0201787995277655
126,156,670622,0.0131031087889459
127,155,271854,0.0355203081463625
128,174,257535,0.011518698394846
129,127,598517,0.0135249250774898
130,141,254865,0.0114225995175062
131,90,661525,0.0232440938824251
132,180,281470,0.0133245268051799
133,178,334957,0.0128029104882941
134,169,444233,0.0092345461280801
135,168,317425,0.0241381353911346
136,178,306415,0.0150907489959565
137,136,586711,0.0339311098929893
138,179,523982,0.0167092243056067
139,177,211879,0.0137940458376621
140,167,211359,0.0139021343436779
141,157,322191,0.0164621823228865
142,157,702482,0.0210974418353617
143,131,421185,0.0115318545080728
144,180,93987,0.0228079049800015
145,178,1047782,0.0280547457918616
146,170,880315,0.0183719912720148
147,164,586768,0.0138101389250444
148,168,261544,0.0203108612626737
149,174,558196,0.0165430274912986
150,124,153914,0.0186552451249936
151,176,414042,0.0195217574468059
152,176,414555,0.0144189263982722
153,149,232072,0.013528821479167
154,180,496918,0.0146855938506224
155,171,528943,0.0120684378254005
156,174,1204260,0.0301953493668331
157,171,302946,0.0293957896025007
158,88,200396,0.0257529429204762
159,167,313894,0.036193742042222
160,168,169622,0.0286938641055328
161,129,379469,0.0096362732102134
162,159,601028,0.0130915700122182
163,178,581395,0.012321117905915
164,179,370612,0.0177716306620282
165,169,337456,0.0138072173354284
166,179,475615,0.0604859467911659
167,48,372339,0.0425392663948488
168,168,410820,0.0459548434675934
169,57,511773,0.0455775713689212
170,133,512041,0.0242938107165525
171,178,344674,0.0085860064923149
172,148,679321,0.0494762444353927
173,167,233150,0.0178379087428429
174,180,405441,0.0562719887871253
175,155,327042,0.0250362819340681
176,179,416149,0.0441060458877073
177,86,339967,0.0329262725749421
178,179,284640,0.0125708295316244
179,170,416709,0.0135963619518783
180,180,416050,0.04833379394868599
181,144,215309,0.016211439441341
182,139,358778,0.0287086193280202
183,126,314424,0.0111215965666501
184,180,294733,0.0505386686456102
185,181,687984,0.0358049324940139
186,107,483658,0.0228584610878007
187,159,185701,0.0112627554638634
188,178,413708,0.0321467567209284
189,172,279777,0.0149572853576792
190,135,794013,0.0199711420792335
191,154,231333,0.0082416200810202
192,172,254633,0.0190135755291345
193,158,455250,0.0154755847379671
194,101,557414,0.0183367605617523
195,178,403213,0.0261968577033154
196,176,456056,0.0188986411958022
197,157,562415,0.0304508861390413
198,179,260897,0.0458702213822968
199,173,434046,0.0343124815916806
200,156,358814,0.0342783861693571
201,181,180147,0.0396838959016905
202,174,481661,0.0278317919009552
203,173,412521,0.0296154324777613
204,173,154889,0.0144442367266825
205,178,323574,0.0458690874629279
206,179,184742,0.0267154668825382
207,174,272354,0.0412339862567897
208,172,635718,0.025461999221182998
209,172,189647,0.0235129238808099
210,178,294700,0.0065704125750831
211,166,1068283,0.0217586570765979
212,161,214659,0.0123701621458311
213,178,686325,0.0343322264095044
214,178,744123,0.0207707686158844
