,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
0,129,279435,0.0094827296834614
1,152,271183,0.0095012614950862
2,149,160151,0.0095049751012726
3,156,272521,0.0095086911272193
4,98,223988,0.0095198537457138
5,178,181848,0.0095235794728073
6,180,307981,0.0130011246497961
7,150,28614,0.0052354480895712
8,178,271536,0.0044022419107912
9,154,361205,0.0036593981184141
10,171,91484,0.0158679970946125
11,180,352467,0.0181764491591554
12,169,598258,0.0062804868193048
13,179,273414,0.0107243028292047
14,179,644639,0.0096381107568814
15,161,386805,0.0123342529824563
16,161,293515,0.0087917108463029
17,181,561705,0.010048543934855
18,169,293015,0.0073922125686736
19,175,532080,0.0077620053274365
20,176,137680,0.0124199944015061
21,171,244402,0.0087576139896339
22,177,666103,0.009736165820043
23,84,6815,0.007883645707306
24,168,217613,0.0097439041950877
25,1,2413203,0.0019448964340994
26,179,221905,0.0050679815231636
27,1,1679313,0.0084689436155441
28,178,918658,0.0088543265729616
29,157,234441,0.0101116725454518
30,152,993105,0.0110180894951873
31,180,165188,0.0164789766943318
32,149,340298,0.0079465599819869
33,174,380913,0.0166474126483395
34,176,313839,0.006303208394281
35,176,547595,0.0059570566835812
36,180,765678,0.0084341012010789
37,170,129203,0.0091235584733533
38,135,404652,0.0072968561409087
39,180,462884,0.0157912750690207
40,169,338566,0.0057176533907098
41,178,424311,0.0089411610492885
42,174,40242,0.0161814507492857
43,147,220605,0.0098572728855479
44,180,313810,0.0112841469038223
45,173,359457,0.0098849674009075
46,164,524964,0.0088100051314417
47,165,103660,0.0105180862106311
48,180,297676,0.0142354715878035
49,151,91467,0.0178821472277412
50,172,373534,0.0099809116667066
51,171,212851,0.0099889770496279
52,181,181393,0.0114766168192857
53,180,310650,0.0313827184436716
54,179,497302,0.0100498152708667
55,181,121387,0.0517117512578803
56,167,222741,0.009844686341452
57,178,640508,0.0110508942110557
58,135,600160,0.0061957010688534
59,136,410164,0.0064520189159161
60,122,836381,0.0069181397114261
61,180,68898,0.0180969566616762
62,174,558650,0.0100043340164408
63,156,494599,0.0053425909584972
64,180,130080,0.0070178531522739
65,180,186898,0.0092411211921204
66,169,471099,0.0065682645424909
67,149,1199561,0.0061265509890509
68,169,215225,0.0191268519129753
69,180,176255,0.0182070986145206
70,180,437795,0.0197041490372735
71,169,283540,0.0085849025248267
72,165,367017,0.0052586600281912
73,175,157878,0.011508803750165
74,171,272266,0.0097466265956467
75,180,126535,0.0103677799308929
76,179,486744,0.0112762710531249
77,163,287629,0.0064109168051811
78,149,420938,0.0062715539883619
79,156,892134,0.0105762719819598
80,170,509145,0.0100594756215598
81,143,795427,0.0149691996963464
82,127,234397,0.0141207502674057
83,178,278154,0.0093240731067539
84,121,132655,0.0107305188200231
85,180,208444,0.0152751642158673
86,165,197626,0.0112319081345557
87,113,513385,0.0101761511937231
88,176,574567,0.0177842509424591
89,166,241276,0.0158028032508631
90,172,15268,0.0255385877536311
91,91,329085,0.0232307263928603
92,149,101081,0.0123845956960487
93,164,302059,0.0119002794062678
94,141,47270,0.0190503295888566
95,169,339272,0.0098571817563277
96,163,176313,0.0219131009927755
97,180,182687,0.0111444248448002
98,177,102244,0.0345033552273196
99,180,258869,0.0183821527452733
100,181,502989,0.0121384721088044
101,181,357766,0.0181497938177837
102,146,286375,0.0172127355527473
103,179,325556,0.0138580227300665
104,179,582710,0.0149403838658893
105,179,625808,0.0189346355567729
106,181,176426,0.0070137906190729
107,172,191603,0.0097226262463159
108,180,518207,0.016715217849028
109,159,531412,0.0153594537670154
110,160,189999,0.0256449140558054
111,180,252824,0.0152698767990005
112,148,370686,0.0147882141912635
113,146,330817,0.01268456421547
114,157,301391,0.0095343542867032
115,128,171234,0.0160654924492754
116,168,186382,0.0146308632119012
117,169,251131,0.008234494635481
118,179,74763,0.0183362326092373
119,180,466884,0.0170507102271096
120,180,98951,0.0165961304827089
121,178,48298,0.0187799590979431
122,126,879986,0.0103545957509217
123,166,176312,0.0257453064636264
124,125,40882,0.0251242781244575
125,137,115599,0.0201787995277655
126,156,201228,0.0131031087889459
127,155,223668,0.0355203081463625
128,174,257082,0.011518698394846
129,127,430434,0.0135249250774898
130,141,160402,0.0114225995175062
131,90,596718,0.0232440938824251
132,180,76945,0.0133245268051799
133,177,316385,0.0128029104882941
134,169,152817,0.0092345461280801
135,168,317417,0.0241381353911346
136,178,87395,0.0150907489959565
137,136,286195,0.0339311098929893
138,179,234903,0.0167092243056067
139,177,211631,0.0137940458376621
140,167,211175,0.0139021343436779
141,157,321860,0.0164621823228865
142,155,461467,0.0210974418353617
143,131,420930,0.0115318545080728
144,180,59553,0.0228079049800015
145,178,49121,0.0280547457918616
146,170,551214,0.0183719912720148
147,164,188309,0.0138101389250444
148,168,223655,0.0203108612626737
149,174,45867,0.0165430274912986
150,124,138255,0.0186552451249936
151,176,280555,0.0195217574468059
152,176,401347,0.0144189263982722
153,143,223681,0.013528821479167
154,180,219551,0.0146855938506224
155,170,163032,0.0120684378254005
156,174,421616,0.0301953493668331
157,171,283920,0.0293957896025007
158,88,200212,0.0257529429204762
159,166,219208,0.036193742042222
160,168,169519,0.0286938641055328
161,129,312701,0.0096362732102134
162,159,315870,0.0130915700122182
163,178,430815,0.012321117905915
164,179,370441,0.0177716306620282
165,168,325840,0.0138072173354284
166,179,475612,0.0604859467911659
167,47,114324,0.0425392663948488
168,167,187093,0.0459548434675934
169,55,241780,0.0455775713689212
170,129,383509,0.0242938107165525
171,178,334978,0.0085860064923149
172,147,299327,0.0494762444353927
173,167,232491,0.0178379087428429
174,179,200030,0.0562719887871253
175,155,262556,0.0250362819340681
176,179,239940,0.0441060458877073
177,86,339967,0.0329262725749421
178,179,284256,0.0125708295316244
179,170,415750,0.0135963619518783
180,180,414324,0.048333793948686
181,144,215090,0.016211439441341
182,139,358778,0.0287086193280202
183,126,192193,0.0111215965666501
184,180,184878,0.0505386686456102
185,181,232475,0.0358049324940139
186,107,64512,0.0228584610878007
187,159,184930,0.0112627554638634
188,178,245597,0.0321467567209284
189,172,171105,0.0149572853576792
190,135,793344,0.0199711420792335
191,152,221850,0.0082416200810202
192,172,254303,0.0190135755291345
193,147,248703,0.0154755847379671
194,68,6577,0.0183367605617523
195,178,313916,0.0261968577033154
196,176,441998,0.0188986411958022
197,157,129563,0.0304508861390413
198,179,185575,0.0458702213822968
199,169,71514,0.0343124815916806
200,156,358577,0.0342783861693571
201,181,180147,0.0396838959016905
