,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
0,181,55284,0.018245520065151
1,181,194349,0.0195263212685733
2,181,248050,0.0173187001270082
3,181,371669,0.0302635384438569
4,181,281025,0.0232068554503554
5,181,354594,0.0468405259693616
6,181,282726,0.0373577767187082
7,181,229805,0.039137488046067
8,181,180910,0.0286547654390661
9,180,251487,0.0323457215765913
10,161,551259,0.0167645296848087
11,181,279151,0.0296486144017274
12,141,833292,0.0116753378853051
13,181,439022,0.0148113919048459
14,163,355072,0.0115333877165265
15,135,992623,0.0147781569626802
16,172,1063001,0.0064574120641276
17,130,657818,0.0144929391527481
18,100,379771,0.0145251456841987
19,180,290149,0.0123995146084623
20,46,280138,0.0128502099945175
21,158,510981,0.0197273324287694
22,181,188867,0.0539554044802755
23,179,285809,0.0144036331808231
24,130,349336,0.0158278126413989
25,121,585443,0.0173490952470139
26,179,437515,0.0106489782393052
27,181,28387,0.0256161763258303
28,180,247873,0.0132715587814558
29,39,521606,0.0089883173165361
30,54,207450,0.013467508402149999
31,175,370739,0.0101494266219102
32,180,929453,0.0156211291022987
33,176,258319,0.0108597828623496
34,166,446662,0.0103706034541356
35,56,372808,0.010167847033046998
36,142,1028353,0.0054599049984529
37,148,519117,0.0152354235286171
38,180,353896,0.04180982114022701
39,98,333810,0.025401756117205
40,181,357704,0.0460870203636294
41,58,113231,0.0229685914634192
42,163,86192,0.0082685200806978
43,160,332774,0.0102379821632794
44,99,251549,0.0089830037045548
45,126,363128,0.0123498549561041
46,116,443922,0.0087409161083418
47,101,393550,0.0161243414574335
48,177,196114,0.0140077238632653
49,179,283159,0.0199825823831414
50,181,540568,0.023363928442285
51,150,325444,0.0191682052333401
52,157,455253,0.0235276407985616
53,26,974382,0.0100088878903427
54,84,555627,0.013678813450135
55,68,558383,0.0138122652886729
56,181,337816,0.0450353647732801
57,161,192138,0.0129109809206768
58,180,467584,0.0102016818155607
59,146,104164,0.0099259658782503
60,103,799752,0.0095479538745685
61,93,751342,0.0145572677031274
62,172,208917,0.0211130811029192
63,176,481807,0.0115610898531788
64,89,536934,0.0273354048715103
65,105,305542,0.0152741678971335
66,181,239189,0.0101299329976618
67,181,450822,0.0131451973347585
68,65,464464,0.0122304542212573
69,63,736157,0.0423564831153081
70,181,469215,0.0092389441919517
71,111,190696,0.0495251960315197
72,72,107572,0.0161681523359155
73,111,465693,0.0195308562881332
74,124,332845,0.0113401168683782
75,150,535714,0.0144390677243014
76,71,321846,0.0153925910645854
77,64,677459,0.0163801688098796
78,142,592978,0.0177199429536658
79,135,735974,0.0216110378388716
80,96,458977,0.0330840553412374
81,178,123374,0.0136336587298198
82,83,300898,0.0087288819537742
83,173,192464,0.0078731092132081
84,180,1020501,0.0079758019420761
85,102,549246,0.0099269637905668
86,171,295962,0.0206947912352738
87,131,338747,0.0216214236786442
88,52,306822,0.0083613640751394
89,129,473311,0.0134194732070139
90,180,347951,0.0118022546410404
91,125,276434,0.0140044246032171
92,87,359798,0.0122814547580744
93,180,395393,0.0100735527790947
94,55,503606,0.0114189930475355
95,181,438993,0.0126247698782404
96,140,111190,0.016291141404524
97,132,375739,0.0127285351101164
98,180,155089,0.0164228791138751
99,98,632644,0.0177092662401619
100,179,384292,0.0131432403754024
101,181,146587,0.0198979689271104
102,176,270521,0.0182539572028051
103,180,619587,0.0229033723243978
104,32,155060,0.0261790620017986
105,108,461008,0.0099174214029654
106,100,197826,0.0185382188062499
107,180,298555,0.0146517779464981
108,180,214803,0.0256281847907156
109,179,410769,0.0188265616314839
110,181,149268,0.0339363289691485
111,103,622512,0.0068705757229901
112,180,362229,0.0266669973815197
113,172,302207,0.0279516452658542
114,86,439519,0.0120265239971229
115,181,120359,0.0257247094486464
116,173,309604,0.0147861536694922
117,89,257251,0.0429296678028863
118,127,424331,0.0139260531766278
119,170,444722,0.0263391020975697
120,48,494438,0.0075048400497185
121,160,245002,0.0200786289136675
122,53,243044,0.018703875943002
123,164,205508,0.033078741262517
124,178,165627,0.0180016693075835
125,95,1061854,0.0206248877974814
126,150,832747,0.0295111426463962
127,180,168403,0.0209006659896449
128,96,441162,0.019964565377684
129,96,350935,0.0185809244639897
130,136,291915,0.0156684382880865
131,167,229306,0.0164133979186743
