,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
0,181,54744,0.018245520065151
1,181,91677,0.0195263212685733
2,181,229954,0.0173187001270082
3,181,127406,0.0302635384438569
4,181,184937,0.0232068554503554
5,181,135898,0.0468405259693616
6,181,194959,0.0373577767187082
7,181,209056,0.039137488046067
8,181,119654,0.0286547654390661
9,180,151207,0.0323457215765913
10,161,279540,0.0167645296848087
11,181,204883,0.0296486144017274
12,141,230778,0.0116753378853051
13,181,187406,0.0148113919048459
14,163,98988,0.0115333877165265
15,135,302321,0.0147781569626802
16,172,759590,0.0064574120641276
17,130,124825,0.0144929391527481
18,100,75355,0.0145251456841987
19,180,42433,0.0123995146084623
20,46,144233,0.0128502099945175
21,158,72419,0.0197273324287694
22,181,121543,0.0539554044802755
23,179,85346,0.0144036331808231
24,127,122309,0.0158278126413989
25,121,118507,0.0173490952470139
26,179,47095,0.0106489782393052
27,181,22730,0.0256161763258303
28,180,27159,0.0132715587814558
29,39,256411,0.0089883173165361
30,34,115029,0.01346750840215
31,175,42044,0.0101494266219102
32,180,223164,0.0156211291022987
33,176,19293,0.0108597828623496
34,166,140721,0.0103706034541356
35,51,99632,0.010167847033047
36,142,565127,0.0054599049984529
37,148,127823,0.0152354235286171
38,180,254455,0.041809821140227
39,98,73058,0.025401756117205
40,181,156545,0.0460870203636294
41,54,3103,0.0229685914634192
42,163,27137,0.0082685200806978
43,160,152098,0.0102379821632794
44,99,21448,0.0089830037045548
45,126,87544,0.0123498549561041
46,108,47206,0.0087409161083418
47,101,66934,0.0161243414574335
48,177,68726,0.0140077238632653
49,179,93178,0.0199825823831414
50,181,233802,0.023363928442285
51,150,61375,0.0191682052333401
52,157,58433,0.0235276407985616
53,20,97987,0.0100088878903427
54,84,452382,0.013678813450135
55,68,77108,0.0138122652886729
56,181,236858,0.0450353647732801
57,161,34013,0.0129109809206768
58,180,23146,0.0102016818155607
59,146,37460,0.0099259658782503
60,103,278637,0.0095479538745685
61,93,199670,0.0145572677031274
62,172,29424,0.0211130811029192
63,176,14619,0.0115610898531788
64,78,55996,0.0273354048715103
65,103,40123,0.0152741678971335
66,181,79932,0.0101299329976618
67,181,48607,0.0131451973347585
68,65,126686,0.0122304542212573
69,63,283628,0.0423564831153081
70,181,67893,0.0092389441919517
71,111,102327,0.0495251960315197
72,62,16495,0.0161681523359155
73,109,54158,0.0195308562881332
74,124,51037,0.0113401168683782
75,150,125860,0.0144390677243014
76,62,78300,0.0153925910645854
77,55,217841,0.0163801688098796
78,142,37466,0.0177199429536658
79,129,246553,0.0216110378388716
80,96,90592,0.0330840553412374
81,178,106694,0.0136336587298198
82,83,80368,0.0087288819537742
83,173,44260,0.0078731092132081
84,180,67524,0.0079758019420761
85,102,172730,0.0099269637905668
86,171,77640,0.0206947912352738
87,107,54860,0.0216214236786442
88,40,304064,0.0083613640751394
