,Entropy
806,7.72807957916118
805,7.52653321568986
804,7.00099075635487
803,7.6059843963553
802,7.59800586508408
801,7.78686326723465
800,7.59275230287651
799,7.74511363825915
798,7.51667790892495
797,7.79421894090138
796,7.06254676991799
795,6.33718147885585
794,7.19068102822552
793,7.34877284292624
792,6.31933257218305
791,6.83901558798676
790,6.42473803978407
789,6.68125863808632
788,6.7526933595416
787,6.72517586623732
786,7.77417300460937
785,7.04114185012281
784,7.38600597174152
783,6.23592962688816
782,7.78357795158894
781,6.72334887327647
780,7.66488176435904
779,3.57529231551021
778,4.31523814398079
777,7.18353604399499
776,6.45780604728201
775,7.43376466883644
774,7.6304173829879
773,7.03635712982825
772,7.73489742460058
771,7.24207876389917
770,7.03268660880536
769,7.87341224281248
768,7.41395237522074
767,6.51624628156615
766,6.83784839565041
765,5.3731355621473
764,6.17352894690171
763,7.6497103278611
762,6.90803705984448
761,7.72665577863822
760,6.45780605587459
759,7.7501499761613
758,7.50209348990341
757,7.26385554738149
756,7.77347017777127
755,7.65981467892698
754,7.93682131961265
753,7.16922407866292
752,6.81428845202743
751,7.38218117212225
750,6.9979918140548
749,7.68852913959069
748,7.0205341967961
747,7.65897464963912
746,7.74270911950174
745,7.75272252290672
744,7.39933749482974
743,6.85784910906792
742,7.40102143745592
741,7.85027710482593
740,7.85775316224716
739,3.57927037033585
738,6.71485767517697
737,7.00469203696842
736,6.5295281926805
735,7.32728600443626
734,7.54752326053993
733,7.83705909907645
732,7.68486496310553
731,7.41741698722014
730,7.6619663660284
729,7.84336055654071
728,7.43331085334595
727,6.32989480897582
726,7.31372509977236
725,6.94634350980667
724,7.42165535269875
723,7.18661948706462
722,7.55634695228852
721,5.78457055609583
720,7.54754390928461
719,5.19000130764826
718,5.56338512018979
717,6.09515565567759
716,6.71076399518813
715,7.41292370772776
714,7.41287242711109
713,7.53177486809951
712,6.31380140989187
711,6.73187160065837
710,6.31351264713315
709,7.45596328170735
708,7.79580435700003
707,7.33525810430001
706,6.23335202648125
705,7.60000540049628
704,7.22908391960398
703,5.78932666184446
702,5.43847178694134
701,6.42534232926513
700,7.36718839732768
699,7.59389175680635
698,7.5927805122103
697,7.78619920111726
696,7.8136251695675
695,6.94506575406171
694,6.21191016268875
693,7.26335808366586
692,7.38274958845611
691,5.83303078321797
690,6.24200785784825
689,7.8729279213185
688,7.34879279469683
687,6.45298267887498
686,6.3898423049321
685,6.95254950238213
684,4.4100157302922
683,7.70170718016487
682,7.45268079808363
681,7.29132917173282
680,6.62128140815163
679,7.61617748627609
678,6.19136139867689
677,5.35168443855746
676,7.18044275034397
675,7.6949669564573
674,6.65444582483483
673,7.7263448492608
672,7.65163700711402
671,7.64307089322063
670,7.7153226207595
669,7.1898332831392
668,7.74134929787592
667,7.24220551554926
666,7.43731250188822
665,7.14014733098322
664,5.98234948504163
663,6.66355785538705
662,7.342426065535
661,7.70241485265911
660,4.72202771056952
659,7.32436456775882
658,6.33648408539329
657,6.58273414039902
656,6.28576464037025
655,7.35291313178278
654,6.90114801591804
653,7.37228594127111
652,7.42609443822807
651,7.54063199627376
650,4.80829837536618
649,7.75267152574254
648,7.89397748784965
647,6.80260613049379
646,7.54546972578088
645,6.9443913125478
644,7.51718677291344
643,7.70766661447015
642,7.37177694085436
641,6.07050203092895
640,7.5251370484233
639,5.95979481719856
638,7.32711158569621
637,6.68068209897218
636,6.78229234840277
635,7.75723203108529
634,5.30783073357642
633,7.39103631197973
632,5.98185216313948
631,7.67526168703893
630,7.30162710776323
629,7.82392181243216
628,6.85240743081212
627,7.51811879640578
626,7.68316518526987
625,5.77476351729135
624,7.87990511108236
623,7.78329008201504
622,6.38575501770169
621,7.49264361644973
620,7.17237538818973
619,7.92067445923267
618,6.520043075318
617,7.06155681936585
616,7.50198080144567
615,7.80678913796891
614,7.35701449686945
613,7.29352064928581
612,6.64360148591846
611,6.38042948908161
610,6.39097545576802
609,6.22972894064142
608,7.91483655749763
607,7.47650642742663
606,6.85940232178243
605,7.06417341478011
604,6.19837720165356
603,6.96173146801365
602,7.7284252189582
601,7.90761669925212
600,7.32990742875923
599,7.80713123627021
598,7.06091392271651
597,7.90019645746547
596,7.52853554531951
595,5.28667422309728
594,7.84749409797852
593,5.81507828908947
592,5.98894364454713
591,6.23700213079623
590,7.72231712078914
589,6.92934524273101
588,6.97310516052878
587,6.13715191150854
