,Entropy
752,7.64359952570295
751,7.84678376036295
750,7.60087199432795
749,7.60809194759229
748,7.4332117994112
747,7.82763012473638
746,7.37760854551986
745,7.56170962217525
744,7.82669604027646
743,7.62655889473141
742,7.93958412696166
741,7.44762313882262
740,7.82320721364713
739,6.25491537623271
738,6.68331098212992
737,7.30600063269892
736,7.84411736986904
735,7.05334320627834
734,7.6775843200391
733,7.16111556787825
732,6.9804630213372
731,7.68948999761155
730,7.49485552992769
729,7.89640679873362
728,7.28253722255396
727,5.9323323357079
726,7.36830817786647
725,7.61794680659317
724,7.82901049303674
723,7.20549037419023
722,7.37309933431008
721,7.02191811023983
720,7.74616883322434
719,6.89069640716815
718,5.18801598638121
717,7.65456546356668
716,7.45407293356645
715,7.01258683919755
714,7.58556085724858
713,7.45426833688287
712,7.11171653092519
711,7.11065691093919
710,7.07084850786212
709,6.75834248288673
708,7.57233275498361
707,7.64130219013237
706,7.56881178783598
705,7.28008080820179
704,7.2950634450692
703,6.33183287315923
702,7.34407403835149
701,7.22003593296015
700,7.74654570007408
699,7.60699289518383
698,7.73565123280333
697,7.80598631546668
696,7.61287925248309
695,6.36913212005113
694,6.7001015526824
693,6.8914300643734
692,7.52701725462102
691,7.75748488150585
690,7.21991619470245
689,7.77995027567652
688,6.02645018025705
687,7.83190199403113
686,6.71405371571496
685,7.58516263607812
684,7.63197510966887
683,6.98141201528191
682,6.74710568056343
681,6.51255233820401
680,7.55736759727943
679,7.39656327833963
678,7.61382328374831
677,7.72102798051918
676,6.29975120689924
675,7.39192414926721
674,7.83667050242307
673,7.8380011951056
672,7.55482466426001
671,7.16088960449304
670,7.69311478956224
669,7.53150579378956
668,7.16465380695064
667,6.6372318215819
666,5.89372064874396
665,6.52686440625791
664,7.58831045298694
663,6.11945757956877
662,7.78970974322091
661,6.6410221107772
660,7.02674746316142
659,7.67332306954043
658,7.73468029554233
657,6.93117403466539
656,7.37928271947138
655,7.00481459118929
654,7.32407100234501
653,7.55016375902183
652,7.1303736989137
651,7.87538502345162
650,4.58846443619771
649,7.76749825347732
648,7.74908256205672
647,7.23499991805052
646,7.76671181118625
645,7.69576136683042
644,7.26811835174691
643,7.01153988534509
642,6.67918436913446
641,7.79362956492831
640,6.55283798565307
639,7.72000147797178
638,7.88392145396616
637,7.61031416721672
636,7.36256063004841
635,6.6094104592971
634,7.76117533187299
633,6.98150597602815
632,6.03613096609822
631,7.62772302614043
630,6.35130936328005
629,6.77335457677683
628,6.97978216437714
627,7.45598354921496
626,7.03000851436793
625,7.60744285163663
624,7.38713357050805
623,7.41232588081978
622,6.62985078558789
621,7.5290225993218
620,6.22809909284277
619,7.5878914872591
618,7.41505466436194
617,6.37122342065984
616,6.93338386763375
615,7.81011287947765
614,7.62328446602234
613,7.8163155602763
612,5.95078147257927
611,7.91735231069203
610,6.5862482163058
609,7.49752260018005
608,5.67868291630428
607,6.38409349650596
606,7.81883506105504
605,7.58018164909128
604,6.84214698893804
603,7.03152517306032
602,7.29924238823907
601,7.12921709226244
600,7.8410801395203
599,5.45264148079527
598,6.88031055188814
597,7.0042631509134
596,7.12088105867003
595,7.72278755387751
594,6.94841457761029
593,7.90647021993085
592,6.60098943217198
591,7.62903290691722
590,7.7313771806456
589,6.8797712846531
588,6.49618100658117
587,6.60488958525946
586,6.24120137951673
585,6.8705848690511
584,6.85746073035627
583,7.59875262319844
582,7.91168521984359
581,7.8658711447396
580,7.83867255479443
579,6.9369958617372
578,7.45084757499969
577,7.34580014761386
576,7.7485443931656
575,7.23840208753375
574,7.90050219265297
573,7.30395065307713
572,7.04033652204024
571,7.63264001187451
570,7.57925033175608
569,7.29301556922718
568,7.8163155602763
567,7.73285719336678
566,7.55766067098569
565,6.17326863916739
564,7.79053917739328
563,7.73327652648557
562,7.21419670006799
561,7.6912028020615
560,7.56560458359733
559,7.62837225082075
558,5.64698266156584
557,7.88641515960608
556,7.69123010199712
555,7.85579387760643
554,7.7684480077942
553,7.86506677631489
552,7.64708111302603
551,7.79028464201495
550,6.37650481470111
549,6.65987912564988
548,7.82614941754523
547,6.73106625880116
546,7.636291926142
545,7.5081320959284
544,7.64780377343167
543,7.54966583960871
542,6.54089082717475
541,7.60633311700177
540,7.69374788881377
539,7.52135019285846
538,7.54054525159676
537,7.8106630529683
536,7.66108668782039
535,6.47346980021973
534,7.75194160426212
533,7.35221071374405
532,7.08940337902393
531,7.87550957675407
530,7.91133360974801
529,7.71911994806367
528,7.89024657622658
527,7.33350473735576
526,6.28785220076797
525,6.29296749090022
524,7.09064532896501
523,7.41419394764017
522,6.68749971288388
521,7.65100444182183
520,7.83424455333906
519,5.49221334840301
518,7.72726016191151
517,7.76238708420796
516,7.38103684068254
515,7.4888165276201
514,7.81079216721694
513,7.77419600238603
512,7.77048175294482
511,7.40470500716076
510,7.89169872928484
509,7.77544325594039
508,7.79014064546699
507,7.23491848512261
506,7.00567462855619
505,7.70859573363329
504,7.84008303850044
503,7.75611159645077
502,6.66775239927582
501,7.65784248329573
500,7.73105395191031
499,7.33199127919283
498,6.41432854738356
497,7.48627466750073
496,7.25353623650599
495,7.73220579407989
494,6.9406499632949
493,7.53155492590055
492,5.23028898815193
491,7.45397889870019
490,7.43679881617412
489,7.69202256247167
488,7.57775419877788
487,7.64998685499442
486,7.699919121985
485,7.71126945990284
484,6.13097610109378
483,7.52001491029512
482,6.28477118639911
481,7.62421377955196
480,7.75270315315061
479,7.87601640190002
478,6.80417824590725
477,7.50478698123683
476,7.1000058226864
475,7.4378307959086
474,7.71087947420651
473,7.78434314645865
472,6.80279774584824
471,7.70190657835413
470,7.61398443446501
469,7.27433765993665
468,7.24112311574729
467,7.73488470209676
466,7.77338572530409
465,6.54947582144339
464,7.65033565987859
463,7.53852568244139
462,6.88379531606135
461,6.10717632668539
460,6.56210428170577
459,7.52625079019598
458,5.6075474615286
457,6.83802359833449
456,6.75720417871136
455,7.08608399864177
454,7.63828912733634
453,7.10404618057508
452,7.23047866237292
451,7.16721348412968
450,7.4417596118419
449,5.69214490847236
448,7.8463898973749
447,6.69716101504454
446,6.78118733033201
445,7.06663164033289
444,5.45515204011135
443,7.45499828811905
442,7.10121088409348
441,6.99481355043005
440,7.76499297313767
439,6.98615984041474
438,6.73302967173674
437,7.61705000616955
436,7.87065483370252
435,7.92969354911573
434,7.80507769056639
433,7.02390481930382
432,7.59240122894909
431,6.91728739498275
430,7.60952062624377
429,7.35880930254735
428,7.86811456870403
427,7.88408655279732
426,7.19327486515153
425,7.82338988711124
424,7.66627703977853
423,7.40499016956106
422,7.619090597721
421,7.73315439439303
420,7.73765748843936
419,7.87180071162952
418,7.62158931352373
417,7.7120493523961
416,7.83596715450795
415,7.73407631446374
414,7.80501583391775
413,7.69352992419306
412,7.82740152832601
411,7.80737381432784
410,7.71152371174909
409,7.81185236978977
408,7.8666118417406
407,7.85045950434109
406,7.85672126354166
405,7.74124576852915
404,7.72850410672079
403,7.63780841505478
402,7.76747969586942
401,7.65224518167033
400,7.68826113452675
399,7.81080275804427
398,7.57001413578598
397,7.87360840347041
396,7.36637513515557
395,7.73638405301535
394,7.89755283550786
393,7.85353361757633
392,7.71124886573474
391,7.87902763226714
390,7.79454710356047
389,7.68990999257143
388,7.83138900902387
387,7.6338340606296
386,7.90239223634258
385,7.59322843468681
384,7.48228639596642
383,7.67691988049134
382,7.49191514052092
381,7.69730168753434
380,7.49774515911071
379,7.52910092114122
378,7.74240748372084
377,7.7864965971058
376,7.47977213978093
375,7.73859276236265
374,7.72002238932943
373,7.72099881366702
372,7.75797116943175
371,7.87798864344157
370,7.71916761123979
369,7.90680186626597
368,7.81556641599663
367,7.66334584148161
366,7.84771168282712
365,7.82824392490653
364,7.66474910794789
363,7.76907522039904
362,7.71504114667533
361,7.26490260351741
360,7.77812029502886
359,7.50172775551105
358,7.82556826022021
357,7.72805874743081
356,7.791754309658
355,7.44915816085167
354,7.72773848987432
353,7.74135663101195
352,7.85440742633361
351,7.4220685361566
350,7.61255887667375
349,7.65896602094127
348,7.56767292292041
347,7.91264098919653
346,7.66283546267538
345,7.74127851904556
344,7.84673435441639
343,7.71808467767772
342,7.79093268672173
341,7.83003096112817
340,7.7525815135159
339,7.93113218600381
338,7.52815776437364
337,7.66849175127778
336,7.90113141328718
335,7.76958650766447
334,7.56082111091303
333,7.74853604072857
332,7.83321838998202
331,7.86049181743885
330,7.74384448269539
329,7.4711036414092
328,7.66141876690914
327,7.61879933197094
326,7.8085094281505
325,7.60217184641109
324,7.72739737470603
323,7.80975170926652
322,7.63218874457616
321,7.77161211054493
320,7.82800971388002
319,7.68849158240451
318,7.75761673594185
317,7.96055357366784
316,7.83359993260809
315,7.81534265477717
314,7.64624901962777
313,7.70248335405998
312,7.7126709883406
311,7.76897476180841
310,7.86424923118636
309,7.50031159593936
308,7.89883120042471
307,7.54806969793367
306,7.88858140987298
305,7.32822324244813
304,7.24218620888841
303,7.81055658135145
302,7.73302533042092
301,7.80276513078126
300,7.55343591425709
299,7.70270493156401
298,7.73043109016824
297,7.05404775089411
296,7.70300226605706
295,7.86679254826131
294,7.8158483429803
293,7.76658039190476
292,7.9068074575645
291,7.549852120981
290,7.6944160922115
289,7.82464445207891
288,7.67598426540084
287,7.87084476479966
286,7.6055522756729
285,7.78871667315827
284,7.84523444612269
283,7.85074940748709
282,7.57543154932942
281,7.67632555901152
280,7.90695929258276
279,7.8454066570338
278,7.65133154475849
277,7.67732685875982
276,7.70102873987732
275,7.91632270256036
274,7.76002177903579
273,7.68198986308725
272,7.2534891338798
271,7.71167700237666
270,7.68989387456865
269,7.76119946280698
268,7.89861177232417
267,7.43473138592216
266,7.47110513896832
265,7.28127576026975
264,6.88185634707471
263,7.56918960867571
262,7.30291230804793
261,7.70039577909341
260,7.82188519926447
259,7.45526589567857
258,7.80666792348051
257,7.76517200800299
256,7.00145891519881
255,5.63103354702251
254,7.83845702001423
253,7.61671459510081
252,7.77574973600601
251,7.64678209607855
250,7.89714719845372
249,7.36770426026784
248,7.83187671696884
247,7.72008070304348
246,7.51894665307024
245,7.72442591164908
244,7.68063238641611
243,7.61253714691426
242,7.69138920047249
241,7.64037210362937
240,7.55899474089389
239,7.7863512407242
238,7.84405381667238
237,7.75336140309315
236,7.48021329686278
235,7.83671693499902
234,7.62400136498588
233,7.28125406659869
232,7.52533227554269
231,7.60833993872338
230,7.86364597374333
229,7.88536476825362
228,7.86973947036913
227,7.87985020536959
226,7.55053217730206
225,7.41173204480445
224,7.54852087532586
223,7.83853586621508
222,7.56983777565542
221,7.79568990468232
220,7.80943686324681
219,7.62029525578575
218,7.68810336319165
217,7.55411738104273
216,7.78795965714893
215,7.69542729247598
214,7.43662527374614
213,7.74821058504853
212,7.81040354289976
211,7.65101693007175
210,7.8197683155565
209,7.68470860855532
208,7.69552474082151
207,7.33096372943241
206,7.36843546929423
205,7.69719799185773
204,7.90632241186029
203,7.78681636960208
202,7.49396646488017
201,7.51282543056076
200,7.57514799416279
199,7.87952775658208
198,7.8066585419898
197,7.44789360291133
196,7.55049737104607
195,7.83800605313884
194,7.87149508541927
193,7.78864078923639
192,7.70662321222725
191,7.55682855524218
190,7.88009639929642
189,7.716477463954
188,7.41424553040442
187,7.77889725281757
186,7.50551540184794
185,7.72122125999718
184,7.89562704263762
183,7.84064718729623
182,7.80026860425134
181,7.67405518642861
180,7.69525624005345
179,7.78251230221575
178,7.5096225713324
177,7.87778734467436
176,7.69329699792178
175,7.85996134150111
174,7.00840232310943
173,7.54934829272656
172,7.77537855400442
171,7.81656703024184
170,7.85238227493852
169,7.72482271378652
168,7.83924707685194
167,7.95180957455522
166,7.8931499860378
165,7.70266290411659
164,7.83978541583581
163,7.22151726005678
162,7.54117876961856
161,7.92695909017642
160,6.79569956542631
159,7.85044582980315
158,7.8083461581471
157,7.88941284227547
156,7.55205914679536
155,7.85890951749909
154,7.24146379165509
153,7.61135381795818
152,7.54121819889765
151,7.80892726732821
150,7.92441312582698
149,7.67256981566437
148,7.90208203237176
147,7.6787518607647
146,7.8832892412993
145,7.921832080493
144,7.7762525340573
143,7.79972150596002
142,7.81033162690921
141,7.92336524872186
140,7.95484950284501
139,7.88645768448088
138,7.88403565707366
137,7.12188156350115
136,7.78738621213879
135,7.59911636373385
134,7.86443799912942
133,7.83684820782264
132,7.59205197388215
131,7.82772482970043
130,7.93945845581048
129,7.73294861365
128,7.92183764172092
127,7.62796314675604
126,7.72478840855499
125,7.78516814359638
124,7.72045003464173
123,7.72875198221754
122,7.08738836892049
121,7.37456885965894
120,6.95024317078287
119,7.63653693938206
118,7.74406137576021
117,7.77825539124404
116,7.72819877469418
115,7.81590505759088
114,7.55010348357724
113,7.82613319316811
112,7.88499478175711
111,6.80118663249383
