,Entropy
783,7.65511085066143
782,7.82846831655714
781,7.71825456962337
780,7.6078422463028
779,7.61810513656167
778,7.8370960594257
777,7.59514950340658
776,7.68732062344882
775,7.7308217268952
774,7.65048188761602
773,7.52054073320443
772,7.60988951513455
771,6.94432706224926
770,4.93490394716119
769,4.854292496739
768,3.28196197948451
767,7.25196021545252
766,4.76682156797695
765,6.31158630557572
764,5.13132998974103
763,6.16582487170857
762,4.34827216975853
761,7.76916186800191
760,6.05559857687362
759,7.83921490094079
758,5.08662171919045
757,3.31709799223158
756,6.00266390076469
755,4.89517420138163
754,6.84521254108187
753,5.83726684814936
752,5.53990636269247
751,5.00668021714617
750,5.11434142643454
749,5.63231481486214
748,3.94529208671983
747,4.77491538389243
746,5.81514117717148
745,7.53112085535737
744,4.91823900161917
743,7.61207765438499
742,4.28123334664395
741,5.63453267349053
740,4.36866931423359
739,6.378191711487
738,4.52614123534266
737,4.70883815143477
736,4.43548362022674
735,5.50571175796629
734,6.9623163489476
733,7.29940187231973
732,5.15845542576225
731,4.85131914961618
730,3.66495794360191
729,3.84814604627564
728,5.1276725327746
727,5.62234288817184
726,7.6705820624414
725,6.5416986221073
724,6.80849431180891
723,6.22896160645178
722,4.02195701200537
721,6.15752449888853
720,4.37063793312422
719,4.65300834672241
718,6.2135164221739
717,5.3386448213222
716,6.18361933834934
715,3.89928047834704
714,7.82267210343645
713,4.87690668575611
712,5.11995750929417
711,4.95548855720677
710,5.85378216659466
709,5.75301874014846
708,5.458112546459
707,5.28909416046775
706,5.75209402826865
705,5.16250304022966
704,5.44119020691392
703,6.7118078151528
702,5.24590525484782
701,4.50222643839613
700,4.81410369362608
699,7.77435373105559
698,5.20553689467714
697,5.91668299599785
696,6.89396240779618
695,6.81201580425092
694,6.65963834797912
693,5.71625908606655
692,4.59782312735789
691,5.49961234988152
690,4.47375881497705
689,5.81902714260075
688,6.38363240535307
687,4.51447803723338
686,7.71567988230014
685,5.01567521414658
684,5.14048599398828
683,5.61854899575707
682,7.76855549963236
681,6.04924988475314
680,5.14204120766543
679,5.5161638936975
678,4.78339375986957
677,6.20887356232064
676,5.94737121253901
675,5.25806451400102
674,7.86918503152761
673,3.1417292121856
672,7.59975613361265
671,5.7781222198545
670,5.92572508004564
669,4.51849581990705
668,7.81267275140452
667,6.30081485192104
666,5.96270553211
665,6.24996130942164
664,4.85002967989273
663,5.19990718812133
662,5.78492041525449
661,6.82666557133933
660,7.87933793518988
659,6.91573399270806
658,5.41829080786294
657,4.56738224901198
656,6.80558988285598
655,4.74612803425886
654,3.00135770327996
653,5.20027139207632
652,6.44654399599056
651,4.89381657327615
650,5.86629288888868
649,5.38371079022637
648,5.45940982177343
647,5.35875943883408
646,7.73656005360541
645,5.48646436257387
644,6.91113535664616
643,5.71237764397734
642,4.3017826351911
641,6.45639229406543
640,6.14485314201647
639,5.59490237510648
638,5.99497422974529
637,7.43022028625762
636,6.5878491903536
635,5.29557442091811
634,7.81911046032492
633,5.64326816386334
632,7.25741887558285
631,4.93186468646489
630,4.94113336384295
629,4.64312367946678
628,6.99276249444662
627,5.93560203575086
626,5.81649457554838
625,4.89201208072993
624,5.22552559736808
623,7.84846231827522
622,5.82409672952723
621,5.80904468175396
620,5.06151276551351
619,7.19040996846178
618,5.3735166055609
617,5.57297907498958
616,7.29339910081695
615,3.20072479677074
614,7.50541622239426
613,5.31257112077973
612,4.39897407908541
611,5.448605252845
610,5.4514532537956
609,6.08461307396023
608,4.11111923812357
607,7.90704186814777
606,5.3664522944338
605,5.063234126507
604,7.7290902309722
603,4.20448199528479
602,4.04722518310333
601,4.78702919233076
600,6.44507703477886
599,4.55954783229115
598,5.21322842689644
597,5.44186014868383
596,5.57085554583265
595,7.45879375136537
594,7.85111770971546
593,4.82175001639118
592,7.74624306608085
591,5.56500919160228
590,5.35917983428069
589,5.20899383534554
588,7.58866276904455
587,5.5529463836861
586,5.52423717835417
585,7.49922819774122
584,7.29480370104445
583,6.23261014922236
582,4.74034913814594
581,7.43836495045605
580,7.31045626548644
579,4.99742892013224
578,7.25741887558285
577,7.44797117158297
576,7.62106038055001
575,6.17404531491973
574,7.81249214421885
573,7.76082403432252
572,5.91065722315516
571,7.78772713855431
570,5.70975855642089
569,5.41802422678205
568,3.90120947645048
567,7.31808306154726
566,7.71660545267814
565,7.64005099183716
564,7.53922913896655
563,7.81923328046794
562,6.51409928607618
561,7.01416478136955
560,4.83167943682308
559,5.22941886906974
558,7.82628313872979
557,5.55644686820532
556,6.62432416993926
555,5.33864722401931
554,7.66263669685664
553,7.56227011335235
552,4.34464268711479
551,7.64074636923024
550,5.09090247237547
549,7.43979412116765
548,7.6642762093746
547,7.7554398316311
546,6.01452342411997
545,6.71640584755306
544,7.7984201907803
543,6.13470066468881
542,5.72479240287127
541,6.48740151326787
540,7.79892435119364
539,6.78458983916583
538,7.37367891137298
537,4.66658263138277
536,5.84508728442126
535,6.38064983288242
534,5.26600991426075
533,4.85587262060931
532,5.24235703179288
531,4.36062235160403
530,5.98284786853506
529,6.22594254922756
528,4.62871266576706
527,7.71776635154839
526,7.77095078112017
525,5.32180477393884
524,6.55628851168622
523,7.59691797267881
522,7.78428981571906
521,5.09030999300596
520,4.17886880764084
519,7.82303037833391
518,7.26927227631004
517,7.48412174769537
516,4.89291743165841
515,6.84909189872683
514,6.34709683626611
513,7.74545405418011
512,7.03291715458531
511,6.35665282856903
510,7.80507723047991
509,6.15814317655615
508,3.73869796262461
507,5.39519542439937
506,6.39432370925053
505,7.64696615146128
504,5.6738471834124
503,4.55891665369493
502,7.75898522012267
501,4.93557218428964
500,7.68076982632464
499,5.23315489930558
498,5.26378975308061
497,5.44327668120249
496,5.36661510814505
495,6.32910230634602
494,5.87559991660527
493,7.09006938962814
492,6.92984012524466
491,6.09452403227273
490,4.77750925746815
489,7.0805500811444
488,4.91699918370717
487,7.27131546239864
486,5.30963355315476
485,7.18028219836027
484,6.95903925746734
483,5.05182239078906
482,5.1876620420646
481,5.83896230739257
480,6.32787514666871
479,5.57040519703304
478,7.79178199059137
477,5.54771252302953
476,6.63230429857077
475,5.58926086570706
474,7.03706575122169
473,6.39210566268285
472,6.05205713617928
471,7.14195475504082
470,7.65222774607474
469,3.54580724349785
468,7.84803230660872
467,5.17120109449672
466,6.41872817653249
465,4.36622562762056
464,4.041457268716
463,5.04849587693975
462,6.71602517041032
461,3.79518559574401
460,4.69936937850364
459,5.58078395715757
458,5.09905022633752
457,7.51360535930422
456,5.36609742264309
455,6.85324703388062
454,5.30010621437361
453,7.52731314444294
452,4.67764367501697
451,7.84900826060103
450,6.2538951004019
449,4.91372073916701
448,5.96003536154385
447,3.37306536229218
446,5.82387165412052
445,5.61471468056866
444,5.52849174845487
443,6.36039287601555
442,6.00119094930406
441,5.30763907677191
440,7.44752928451789
439,7.77079506246586
438,6.97387626401374
437,7.72420493757928
436,7.01802761639304
435,7.54016386907483
434,7.56471082889019
433,7.41322144305547
432,7.26939226989312
431,7.70254670056376
430,7.88380639260094
429,7.3314463102368
428,7.84157544571576
427,7.80528595019908
426,7.73881860462317
425,7.70222207882935
424,7.74530999592386
423,7.75096803879399
422,7.86798724613478
421,7.6386754086264
420,7.71814657443237
419,7.91280622189015
418,7.72415536311598
417,7.81486169788406
416,7.65763478332099
415,7.84374033059974
414,7.72416451434142
413,7.71176450802727
412,7.82422466166118
411,7.70852877902025
410,7.88165014667807
409,7.86045047798641
408,7.7952291208615
407,7.74500103985961
406,7.6703978171181
405,7.7456382725969
404,6.76307026970849
403,7.14133099607635
402,7.80996074986095
