,Hue,Saturation,dominant_hue_1,dominant_sat_1,dominant_val_1,dominant_hue_2,dominant_sat_2,dominant_val_2,dominant_hue_3,dominant_sat_3,dominant_val_3,hue_contrast_c1_c2,hue_contrast_c1_c3,hue_contrast_c1_c4,hue_contrast_c1_c5,hue_contrast_c2_c3,hue_contrast_c2_c4,hue_contrast_c2_c5,hue_contrast_c3_c4,hue_contrast_c3_c5,hue_contrast_c4_c5,like_rate_segmentation,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate,Entropy,like_rate_segmentation,michelson_contrast,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
0,21.534361945436302,153.94307480921375,30.78947368421053,78.35051546391753,38.03921568627451,33.65853658536586,19.339622641509443,83.13725490196076,40.4878048780488,62.755102040816325,76.86274509803921,2.8690629011553312,9.698331193838273,6.9538572458543575,0.4105263157894754,6.829268292682941,9.82292014700969,2.458536585365856,16.65218843969263,9.287804878048796,7.364383561643834,0.0,181,55284,0.018245520065151,7.655110850661429,2,1.0,1,1,0,0,0,0,0,0,1,0,1,0,3,1,0,1,3,0,0,3,2,1,4,4,7,3,8,11,7,7,11,17,10,20,20,19,13,24,18,38,32,41,40,44,67,59,90,109,98,132,150,161,184,237,260,307,390,460,586,680,836,939,1245,1605,1794,2328,2827,3587,4359,5680,7849,9440,11432,16161,26515,67688,342788,72460,28779,16716,11804,8804,6870,5428,4323,3517,2898,2327,1876,1499,1174,974,820,615,498,422,350,255,243,213,169,150,122,112,91,84,54,64,53,46,37,29,28,25,24,28,17,19,10,19,10,6,9,9,7,4,6,5,3,3,3,1,3,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1
1,52.3347834683642,130.7358728780864,5.454545454545452,68.32298136645964,63.13725490196078,34.21487603305785,61.734693877551024,76.86274509803921,14.117647058823517,23.394495412844037,85.49019607843138,28.760330578512395,8.663101604278065,204.54545454545465,225.29435322386863,20.09722897423434,175.78512396694217,196.53402264535626,195.8823529411765,216.63125161959056,20.74889867841404,0.0,181,194349,0.0195263212685733,7.82846831655714,2,1.0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,5,0,2,1,2,5,3,6,7,7,15,10,14,14,11,17,19,26,16,28,40,34,43,40,45,62,57,63,86,92,112,130,141,165,189,211,242,277,334,387,389,490,550,654,746,971,1056,1229,1487,1774,2100,2569,3004,3749,4756,5669,7274,9520,12646,17362,24989,37070,64453,151099,1294184,197636,74037,40777,25906,17949,12856,9753,7576,5836,4705,3768,3263,2582,2162,1776,1395,1209,1046,892,746,657,532,491,409,342,303,250,249,225,189,149,123,124,107,83,85,77,59,60,54,56,42,29,34,26,27,32,22,19,11,14,18,11,11,5,10,7,3,8,6,2,0,5,3,1,0,0,0,1,2,2
2,31.583696952160487,109.0993214699074,39.3103448275862,30.85106382978725,36.86274509803922,35.102040816326536,71.35922330097088,80.78431372549021,25.18134715025907,90.61032863849763,83.52941176470588,4.2083040112596715,14.128997677327133,317.94992914501654,16.23342175066312,9.92069366606746,322.1582331562762,12.025117739403449,332.07892682234365,2.104424073335988,334.1833508956796,0.0,181,248050,0.0173187001270082,7.71825456962337,2,1.0,1,0,2,0,0,2,0,0,1,1,1,0,1,1,0,0,3,0,2,3,3,3,6,1,8,7,5,6,3,10,16,8,15,15,23,10,20,29,35,29,40,28,33,51,50,68,59,74,86,99,113,121,159,143,220,231,315,347,417,507,655,789,914,1128,1399,1643,1965,2390,2911,3564,4362,5698,7509,10048,14332,21822,34263,67132,264991,1382775,104886,45159,25511,17046,11567,8287,6121,4435,3239,2540,1987,1484,1235,937,742,621,570,433,402,318,277,229,207,190,151,146,113,107,97,81,82,88,65,61,49,45,26,38,40,25,24,15,20,22,15,22,12,9,17,12,5,11,7,8,6,8,5,5,3,5,1,2,2,2,0,0,0,1,1,2
3,87.55577064043209,119.6525149498457,282.2222222222222,14.51612903225806,72.94117647058823,332.8767123287672,85.38011695906434,67.05882352941175,249.375,21.917808219178085,57.25490196078431,50.65449010654498,32.84722222222217,233.13131313131302,43.98467432950196,83.50171232876716,283.78580323785803,6.669815777043028,200.28409090909088,76.83189655172413,277.115987460815,0.0,181,371669,0.0302635384438569,7.6078422463028,3,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,2,1,0,2,6,2,2,7,6,6,3,2,8,7,10,9,12,12,20,18,16,17,31,23,22,31,25,32,39,49,29,44,59,68,79,103,90,129,145,174,198,241,310,362,433,557,665,860,990,1163,1582,1832,2235,2788,3483,4370,5607,7269,9678,13160,18318,25514,42760,95833,1366597,276174,70774,35614,22217,15032,10739,7725,5828,4560,3345,2648,2068,1594,1302,1039,824,629,540,427,344,285,249,191,164,144,114,111,86,74,81,61,41,47,52,30,35,35,19,19,22,15,23,11,15,13,6,5,10,8,6,7,10,4,7,4,2,5,1,1,3,0,0,2,1,1,0,1
4,59.92332995756172,139.14838927469134,0.0,46.70050761421321,77.25490196078431,1.3793103448275812,36.864406779661024,92.54901960784314,344.6153846153846,41.48936170212766,36.86274509803922,1.3793103448275812,344.6153846153846,3.1578947368421058,25.77464788732394,343.23607427055714,1.7785843920145246,24.39533754249636,341.45748987854256,318.8407367280607,22.616753150481838,0.0,181,281025,0.0232068554503554,7.61810513656167,3,1.0,2,0,0,0,1,0,0,1,0,1,0,1,1,2,1,2,1,0,2,4,4,2,6,5,4,9,11,7,8,15,11,13,15,15,22,17,36,36,38,44,35,52,53,59,66,92,108,108,133,131,201,204,235,308,357,504,511,628,768,935,1205,1430,1722,2242,2856,3616,4688,6237,8188,10990,15693,22382,31864,51839,106507,1283329,294952,80979,41886,26902,18067,12419,9029,6507,4649,3626,2707,2148,1666,1278,1044,818,687,519,451,359,341,259,235,212,182,149,124,98,107,77,81,50,57,54,48,25,34,37,23,12,17,8,13,11,7,6,6,3,2,4,2,0,0,5,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,60.55597569868404,114.26687228666395,282.85714285714283,8.86075949367089,30.980392156862745,232.8,12.562814070351758,78.03921568627452,14.347826086956525,78.85714285714288,68.62745098039215,50.05714285714282,268.50931677018644,83.86980108499094,39.72918077183476,218.45217391304348,33.81265822784812,10.32796208530806,184.6395156851954,228.7801359983516,44.14062031315618,0.0,181,354594,0.0468405259693616,7.8370960594257,5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,2,2,2,3,1,9,12,6,19,21,37,49,81,83,128,245,612,394,1072,1090,533,529,465,596,718,879,1546,1537,2208,2274,3071,3776,5219,6634,8712,11962,17101,25605,41245,82798,154409,405735,1002098,276598,126176,61642,34742,21465,14241,9630,6707,4876,3752,2977,2405,1913,1399,1026,868,737,594,426,360,309,222,231,144,143,93,86,62,49,47,60,111,217,309,216,131,79,53,58,21,17,1,0,3
6,39.563980516975306,78.50037567515432,30.0,15.74074074074074,84.70588235294117,33.6,36.4963503649635,53.72549019607843,37.35849056603774,32.71604938271605,63.529411764705884,3.6000000000000014,7.358490566037744,33.33333333333332,178.00000000000003,3.758490566037743,29.73333333333332,174.40000000000003,25.974842767295574,170.64150943396228,144.66666666666669,0.0,181,282726,0.0373577767187082,7.59514950340658,4,1.0,1,1,0,0,0,0,0,0,2,1,2,3,3,2,1,0,3,5,9,10,10,7,19,15,17,27,25,38,27,32,36,33,58,52,64,65,92,81,89,128,127,143,149,183,191,215,217,285,324,392,468,532,647,812,947,1120,1388,1702,2190,2608,3268,3947,4982,6097,7805,9803,13080,17818,25907,38663,80079,1052721,576148,81625,39932,25098,16944,12017,8638,6430,4918,3729,2955,2321,1883,1607,1333,1103,900,796,713,568,506,436,379,334,283,253,232,194,177,141,119,137,114,104,84,67,70,65,53,57,40,35,34,26,33,26,26,15,19,18,14,9,8,9,10,6,6,9,4,3,1,6,3,2,1,1,0,0,1,1,0,0,0,1,1,0,0,1
7,36.459392361111114,96.82205005787036,27.567567567567572,17.535545023696674,82.74509803921569,303.80090497737564,86.66666666666669,100.0,36.66666666666666,41.618497109826606,67.84313725490196,276.23333740980803,9.099099099099082,2.03243243243244,32.43243243243242,267.13423831070895,274.2009049773756,243.8009049773756,7.0666666666666424,23.333333333333343,30.399999999999984,0.0,181,229805,0.039137488046067,7.68732062344882,4,1.0,2,1,1,0,1,0,0,4,2,0,4,1,0,4,1,4,4,3,8,6,4,11,9,10,10,15,11,23,24,25,26,30,33,20,43,55,45,60,72,67,78,102,109,125,138,179,167,194,222,287,319,341,442,518,646,699,835,979,1254,1435,1630,1960,2365,2709,3207,3778,4555,5306,6405,7909,9922,13069,17342,22664,32536,47295,80230,192274,1163221,184872,80962,46612,31097,22175,16203,12247,9369,7341,5787,4573,3648,2954,2490,2044,1703,1501,1255,1113,993,797,620,641,556,457,426,376,294,250,264,189,201,173,141,135,126,114,103,83,73,85,55,58,57,42,24,40,30,27,23,19,12,20,13,7,8,9,6,5,3,4,4,2,1,2,0,0,0,0,0,1
8,80.79767554012345,114.74047453703704,18.165137614678898,66.46341463414633,64.31372549019608,220.00000000000003,16.36363636363637,86.27450980392156,270.0,12.698412698412698,24.705882352941174,201.83486238532112,251.8348623853211,178.1984987489575,188.11585412085827,49.99999999999997,23.636363636363626,13.719008264462845,73.6363636363636,63.71900826446282,9.917355371900785,0.0,181,180910,0.0286547654390661,7.7308217268952,3,1.0,1,1,0,2,0,2,0,0,1,1,4,6,1,5,3,5,2,4,3,5,7,4,6,6,9,9,15,17,13,11,19,18,20,26,35,24,42,35,55,48,76,82,70,124,106,154,173,184,240,273,343,427,464,513,648,806,1000,1171,1443,1739,2127,2513,3174,3949,5070,6316,8211,11020,15129,22721,37363,73815,266221,1310629,133713,53823,30115,18569,12835,9450,7276,5658,4382,3683,2894,2384,1800,1518,1157,970,775,611,480,378,320,286,229,199,154,163,122,92,100,70,65,49,59,57,45,34,36,39,22,17,24,18,18,17,13,14,14,14,7,3,10,10,4,4,10,3,6,5,1,3,0,5,2,1,1,0,2,1,0,1,0,0,0,0,0,1
9,67.11619212962962,118.06872010030865,166.95652173913044,76.66666666666667,23.529411764705877,39.37500000000002,16.41025641025641,76.47058823529412,195.5172413793103,35.365853658536594,64.31372549019608,127.5815217391304,28.560719640179887,30.74839629365644,117.28439059158946,156.14224137931032,158.32991803278685,10.297131147540961,2.187676653476558,145.84511023176938,148.0327868852459,0.0,180,251487,0.0323457215765913,7.650481887616019,4,1.0,1,0,0,1,0,1,0,0,1,1,0,0,3,1,3,1,4,2,5,12,7,7,5,10,7,8,8,9,14,18,14,17,22,30,39,28,45,40,43,43,49,55,56,101,107,114,132,138,199,217,247,325,339,474,500,594,719,803,1011,1167,1403,1728,1959,2407,2881,3537,4240,5308,6893,8808,11397,16256,22096,29903,46984,96620,1388774,207420,66468,38615,25498,18138,13171,9683,7440,5600,4362,3393,2737,2184,1781,1387,1119,897,770,621,494,430,374,301,266,207,180,149,127,109,84,72,59,80,48,40,44,37,30,28,19,14,14,19,13,13,13,5,16,7,4,0,6,5,4,2,2,2,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
10,33.86613538030832,75.40590459569519,43.75000000000001,52.459016393442624,71.76470588235293,39.23076923076925,28.2608695652174,36.078431372549026,37.77777777777778,14.438502673796785,73.33333333333333,4.5192307692307585,5.972222222222222,77.20617529880477,16.55,1.452991452991462,81.72540606803554,12.030769230769241,83.17839752102701,10.57777777777778,93.75617529880478,0.0,161,551259,0.0167645296848087,7.520540733204429,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,3,4,10,21,72,154,291,352,450,543,802,948,2649,1756,1250,795,911,1198,1423,1406,1747,2107,2371,2774,3170,3080,3960,5449,7234,10039,13446,18669,29256,45213,82698,147403,367309,936618,213994,104639,56014,35910,24003,15314,10939,8363,6898,5498,3813,2513,1942,2228,2244,1593,917,546,517,505,438,553,530,400,296,668,626,589,148,42,23,12,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,32.69695842978395,117.40593123070988,31.42857142857143,87.5,9.411764705882351,14.33962264150943,85.48387096774194,72.94117647058823,26.25000000000001,14.883720930232556,84.31372549019608,17.088948787061998,5.17857142857142,8.928571428571406,4.2471042471042475,11.91037735849058,8.160377358490594,21.336053034166245,3.7499999999999862,9.425675675675668,13.175675675675652,0.0,181,279151,0.0296486144017274,7.60988951513455,3,1.0,1,0,0,0,0,0,0,2,0,1,0,0,3,0,0,1,1,3,2,0,2,1,3,1,5,4,8,10,7,10,13,14,14,21,16,21,22,26,34,43,44,44,61,85,79,105,93,114,128,146,177,215,245,272,341,422,505,584,757,893,1087,1450,1782,2311,2831,3706,4688,6121,8119,10833,15236,23057,35336,58683,141704,1355483,204026,69368,37221,23846,15926,11419,8067,5937,4291,3156,2347,1792,1473,1116,929,742,658,460,411,365,280,246,209,191,139,138,109,98,74,58,65,53,44,42,22,37,24,25,23,25,26,17,10,7,8,7,8,4,3,9,2,11,3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
