,Hue,Saturation,dominant_hue_1,dominant_sat_1,dominant_val_1,dominant_hue_2,dominant_sat_2,dominant_val_2,dominant_hue_3,dominant_sat_3,dominant_val_3,hue_contrast_c1_c2,hue_contrast_c1_c3,hue_contrast_c1_c4,hue_contrast_c1_c5,hue_contrast_c2_c3,hue_contrast_c2_c4,hue_contrast_c2_c5,hue_contrast_c3_c4,hue_contrast_c3_c5,hue_contrast_c4_c5,like_rate_segmentation,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate,Entropy,like_rate_segmentation,michelson_contrast,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
0,21.464087661019285,153.27681307303536,40.0,59.067357512953365,75.68627450980392,23.83561643835617,86.9047619047619,65.88235294117646,32.85714285714287,19.81132075471698,83.13725490196077,16.16438356164383,7.142857142857132,8.421052631578949,8.799999999999997,9.0215264187867,7.743330930064882,7.364383561643834,1.278195488721817,1.6571428571428657,0.3789473684210485,0.0,181,54744,0.018245520065151,7.65202497498271,2,1.0,1,1,0,0,0,0,0,0,1,0,1,0,3,1,0,1,3,0,0,3,2,1,4,4,7,3,8,11,7,7,11,17,10,20,20,19,13,24,18,38,32,41,40,44,67,59,90,109,98,132,150,161,184,237,260,307,390,460,586,680,836,938,1245,1605,1794,2322,2810,3555,4323,5585,7730,9330,11273,15864,26004,66329,330376,71059,28280,16401,11556,8609,6721,5315,4249,3485,2890,2324,1873,1498,1174,974,820,615,498,422,350,255,243,213,169,150,122,112,91,84,54,64,53,46,37,29,28,25,24,28,17,19,10,19,10,6,9,9,7,4,6,5,3,3,3,1,3,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1
1,60.66773376185661,147.95223650633156,5.179856115107913,79.42857142857143,68.62745098039215,202.5,25.0,25.09803921568628,34.11764705882352,71.83098591549296,83.52941176470588,197.32014388489208,28.93779094371561,3.5474166121648185,203.3516124163606,168.38235294117646,193.77272727272728,6.0314685314685335,25.390374331550788,174.413821472645,199.8041958041958,0.0,181,91677,0.0195263212685733,7.84678376036295,2,1.0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,5,0,2,1,2,5,3,6,7,7,15,10,14,14,11,17,19,26,16,28,40,34,43,40,45,62,57,63,86,92,112,130,141,165,189,211,241,278,334,387,389,490,550,654,746,972,1058,1235,1490,1778,2112,2570,3005,3739,4723,5557,7091,9146,12385,17530,24463,35890,60508,135313,934847,174414,69134,39238,25346,17783,12778,9709,7561,5834,4705,3767,3263,2582,2161,1776,1395,1209,1046,892,746,657,532,491,409,342,303,250,249,225,189,149,123,124,107,83,85,77,59,60,54,56,42,29,34,26,27,32,22,19,11,14,18,11,11,5,10,7,3,8,6,2,0,5,3,1,0,0,0,1,2,2
2,34.80440126674504,122.09700144322692,229.0909090909091,29.72972972972972,14.509803921568626,20.000000000000018,17.97235023041475,85.09803921568627,34.920634920634924,82.89473684210526,89.41176470588235,209.0909090909091,194.17027417027413,203.4521425710853,229.0909090909091,14.920634920634908,5.638766519823772,20.000000000000018,9.281868400811137,34.920634920634924,25.63876651982379,0.0,181,229954,0.0173187001270082,7.59327909316296,2,1.0,1,0,2,0,0,2,0,0,1,1,1,0,1,1,0,0,3,0,2,3,3,3,6,1,8,7,5,6,3,10,16,9,15,16,23,10,20,29,35,29,39,28,33,50,51,69,59,74,87,99,112,121,157,142,219,230,314,347,416,504,655,789,911,1129,1395,1642,1964,2391,2917,3595,4470,6073,7884,10129,13645,19412,30011,58243,217877,1046527,89506,40278,23580,16205,11195,8033,6048,4406,3224,2539,1986,1483,1235,936,742,619,570,432,402,318,276,229,205,189,151,144,112,107,98,81,81,88,62,60,49,45,26,38,40,24,24,14,19,21,14,22,11,9,17,12,5,11,7,8,6,8,5,5,3,5,1,2,2,2,0,0,0,1,1,2
3,87.8025015935632,156.52407182459982,348.3333333333333,62.06896551724138,68.23529411764706,83.99999999999999,29.411764705882355,6.666666666666667,287.4418604651163,20.873786407767,80.7843137254902,264.3333333333333,60.89147286821702,99.7619047619048,16.93146417445479,203.4418604651163,164.57142857142856,247.40186915887853,38.870431893687766,43.96000869376224,82.83044058745,0.0,181,127406,0.0302635384438569,7.62123962620075,3,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,2,1,0,2,6,2,2,7,6,6,3,1,8,7,9,8,12,11,18,17,15,18,31,22,20,29,23,31,37,52,27,41,55,68,73,95,86,128,141,166,192,231,294,341,413,530,633,806,941,1111,1501,1734,2116,2652,3310,4158,5265,6683,8836,11969,15698,22345,34868,68968,717203,173206,54200,30085,19569,13494,9783,7162,5442,4304,3162,2488,1967,1514,1240,991,781,596,519,402,325,278,237,179,154,133,111,102,79,64,78,56,36,46,43,28,32,27,18,18,15,13,18,11,13,12,6,4,9,8,5,7,10,4,7,4,2,5,1,1,3,0,0,2,1,1,0,1
4,75.6683377427273,155.87601598615956,359.4642857142857,53.08056872037914,82.74509803921568,302.0869565217391,92.74193548387098,97.25490196078432,351.06382978723406,38.84297520661158,94.90196078431372,57.3773291925466,8.400455927051667,15.644060995184589,50.05252100840335,48.97687326549493,41.73326819736201,7.324808184143251,7.243605068132922,41.65206508135168,34.40846001321876,0.0,181,184937,0.0232068554503554,7.49810279754434,3,1.0,2,0,0,0,1,0,0,1,0,1,0,1,1,2,1,2,1,0,2,4,4,2,6,5,4,9,11,7,8,15,11,13,14,15,22,17,36,36,39,44,35,52,53,60,64,93,107,103,128,129,197,197,232,300,342,484,487,604,714,866,1111,1321,1554,1988,2498,3119,3996,5356,6993,9652,13594,17711,25823,41111,79980,821367,206393,62087,33722,22052,14812,10252,7481,5458,3889,3068,2283,1799,1435,1129,924,718,600,469,401,327,318,242,219,201,172,142,118,94,98,73,75,46,57,54,47,25,34,37,23,12,17,7,13,11,7,6,6,3,2,4,2,0,0,5,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,66.0553962264888,126.97810047203068,208.69565217391303,47.91666666666666,56.47058823529412,232.5,12.060301507537687,78.03921568627452,342.3529411764706,23.287671232876708,28.627450980392155,23.80434782608694,133.65728900255755,10.234113712374636,194.2275670675301,109.8529411764706,34.038461538461576,218.03191489361703,143.89140271493218,327.8848560700876,183.99345335515545,0.0,181,135898,0.0468405259693616,7.84805203936889,5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,1,0,1,1,2,5,1,2,9,8,12,9,15,28,30,52,62,50,91,111,186,215,408,842,553,464,440,480,624,700,857,1109,1297,1652,2170,2808,3490,4652,5764,7637,9805,13499,19614,29113,51312,94939,199842,596038,553091,198701,95617,50144,29217,19090,12969,8970,6382,4716,3635,2892,2433,1930,1485,1106,884,744,624,470,393,306,264,206,212,138,126,97,70,54,49,31,26,16,23,14,6,13,7,6,0,1,2,2,0,0,1
6,49.78758094256028,90.85281853428062,32.14285714285711,12.962962962962957,84.70588235294117,241.8181818181818,100.0,12.941176470588234,214.66666666666669,84.90566037735849,62.35294117647059,209.6753246753247,182.5238095238096,164.01098901098902,153.43853820598008,27.151515151515127,45.66433566433568,56.23678646934462,18.51282051282056,29.08527131782949,10.57245080500894,0.0,181,194959,0.0373577767187082,7.37760854551986,4,1.0,1,1,0,0,0,0,0,0,2,0,2,3,3,2,1,0,2,5,9,10,10,7,19,14,18,27,25,38,27,32,36,33,58,52,63,63,93,81,89,127,127,142,149,181,192,215,215,285,323,389,469,530,645,805,942,1112,1361,1667,2093,2471,3092,3757,4655,5663,7185,9127,12053,15515,22402,33483,62792,626047,365955,64483,34176,21978,15121,10869,7841,5905,4566,3519,2772,2217,1802,1534,1287,1075,879,781,706,561,495,436,377,331,282,250,231,190,175,141,118,137,113,103,82,66,69,65,52,54,39,35,34,26,32,25,26,15,19,17,14,9,8,9,10,6,6,9,4,3,1,6,3,2,1,1,0,0,1,1,0,0,0,1,1,0,0,1
7,41.647158711519424,99.50987965585256,23.333333333333336,16.822429906542062,83.92156862745098,208.0,19.48051948051948,30.19607843137255,34.12844036697247,56.18556701030928,76.07843137254902,184.6666666666666,10.795107033639134,191.0144927536232,18.47619047619048,173.87155963302746,6.347826086956559,203.14285714285708,180.219385719984,29.27129750982961,209.49068322981364,0.0,181,209056,0.039137488046067,7.5818761049155,4,1.0,2,1,1,0,1,0,0,4,2,0,4,1,0,4,1,4,4,3,8,6,4,11,9,10,10,15,11,23,24,25,26,30,33,20,43,55,45,60,72,67,78,102,109,125,138,179,167,194,223,287,319,341,441,518,647,699,835,979,1254,1436,1630,1962,2367,2710,3208,3780,4556,5312,6439,8026,10538,13348,16790,21877,30020,44326,72415,162818,734312,159333,74358,44246,29827,21303,15582,11776,9171,7216,5743,4551,3638,2954,2490,2044,1703,1501,1255,1113,993,796,620,641,556,457,426,376,294,250,264,189,201,173,141,135,126,114,103,83,73,85,55,58,57,42,24,40,30,27,23,19,12,20,13,7,8,9,6,5,3,4,4,2,1,2,0,0,0,0,0,1
8,80.75502421036114,118.98763001860613,256.3636363636363,17.741935483870964,24.31372549019608,223.125,14.545454545454543,86.27450980392157,196.3636363636364,51.29533678756476,75.68627450980392,33.23863636363632,59.99999999999997,240.3291536050156,49.64094728800603,26.76136363636365,207.0905172413793,16.402310924369715,180.32915360501568,10.35905271199394,190.6882063170096,0.0,181,119654,0.0286547654390661,7.73947327604456,3,1.0,1,1,0,2,0,2,0,0,1,1,4,5,1,5,3,5,2,4,3,5,7,5,6,5,9,8,14,16,13,11,17,16,18,23,28,21,39,31,52,46,71,76,67,115,95,141,160,167,216,227,302,352,407,440,553,679,837,955,1181,1406,1711,1955,2497,3160,4115,5018,6453,8481,11400,16665,26709,50806,176129,894117,89809,37594,21932,13895,9880,7371,5722,4480,3475,2903,2293,1918,1409,1235,909,787,630,497,386,289,251,241,193,160,123,133,107,80,87,63,57,37,53,49,38,33,31,33,20,14,22,17,18,13,11,10,13,13,7,2,8,8,2,2,9,3,5,2,1,2,0,3,1,1,1,0,1,1,0,1,0,0,0,0,0,1
9,70.55997453316776,126.96785421169557,196.271186440678,35.54216867469879,65.09803921568627,61.38248847926268,90.7949790794979,93.72549019607844,37.24137931034484,14.871794871794863,76.47058823529412,134.8886979614153,159.02980713033315,1.4752924325614742,29.05807168657961,24.14110916891784,136.3639903939768,105.8306262748357,160.5050995628946,129.97173544375352,30.533364119141083,0.0,180,151207,0.0323457215765913,7.60813647115483,4,1.0,1,0,0,1,0,1,0,0,1,1,0,0,3,1,3,1,4,2,5,12,7,7,5,10,7,7,8,9,14,17,14,16,21,29,39,27,45,39,43,43,48,56,54,100,104,113,126,132,197,217,244,325,332,469,498,583,702,797,997,1156,1372,1683,1919,2358,2817,3468,4144,5192,6703,8541,11002,15775,19818,27343,41665,78963,812206,153732,57266,35303,23729,17096,12539,9298,7178,5448,4266,3303,2657,2144,1746,1361,1103,879,756,608,486,419,365,292,264,204,177,145,125,103,83,71,59,74,47,37,43,35,29,28,19,14,14,19,13,13,13,5,16,7,4,0,6,5,4,2,2,2,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
