,Hue,Saturation,dominant_hue_1,dominant_sat_1,dominant_val_1,dominant_hue_2,dominant_sat_2,dominant_val_2,dominant_hue_3,dominant_sat_3,dominant_val_3,hue_contrast_c1_c2,hue_contrast_c1_c3,hue_contrast_c1_c4,hue_contrast_c1_c5,hue_contrast_c2_c3,hue_contrast_c2_c4,hue_contrast_c2_c5,hue_contrast_c3_c4,hue_contrast_c3_c5,hue_contrast_c4_c5,like_rate_segmentation,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate,Entropy,like_rate_segmentation,michelson_contrast,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
0,12.335475019290126,136.70582899305555,20.0,62.63736263736264,35.68627450980392,23.265306122448987,21.39737991266377,89.80392156862746,22.105263157894736,80.85106382978724,18.43137254901961,3.265306122448994,2.1052631578947363,2.736842105263168,4.9999999999999885,1.1600429645542576,0.5284640171858257,1.7346938775509957,0.6315789473684319,2.8947368421052526,2.2631578947368207,0.0,129,477100,0.0094827296834614,7.68739226465873,1,1.0,2,2,0,1,2,3,4,6,5,10,7,6,8,6,7,12,4,13,12,10,11,34,38,32,15,16,31,33,38,39,40,60,63,67,104,74,89,108,131,134,133,139,192,199,216,215,265,336,289,309,374,377,474,572,611,740,727,852,1111,1226,1403,1669,1934,2154,2512,2899,3423,3998,4920,5955,7448,9377,13028,17966,25947,38913,65233,177748,1335533,136188,56479,34136,22588,16640,12915,10463,8307,7025,5437,4421,3410,2855,2435,2074,1716,1493,1280,1112,997,889,737,659,611,565,468,409,360,353,302,293,291,286,281,234,163,179,160,138,141,132,111,127,101,94,94,87,73,47,77,54,53,56,73,63,35,28,43,27,17,15,5,3,0,0,0,0,0,0,0,1
1,90.15006076388887,123.81107301311728,359.3478260869565,37.551020408163275,96.07843137254902,358.3783783783784,62.01117318435754,70.19607843137254,54.634146341463406,100.0,96.47058823529413,0.969447708578116,304.71367974549315,358.8678260869565,7.198293376676133,303.74423203691504,357.89837837837837,6.2288456680980175,54.154146341463424,297.51538636881696,351.6695327102804,0.0,157,380278,0.0095012614950862,7.54785259979227,1,0.8149466192170819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,3,3,0,3,6,9,4,8,10,24,18,26,43,40,40,52,69,76,107,92,150,225,210,422,240,470,492,524,493,550,668,860,1049,1345,1774,2560,3004,4171,6051,8381,13187,21377,38210,100181,1431211,286050,61160,28751,16756,11229,6892,4729,3647,2861,2289,1956,1508,1179,963,745,583,680,545,436,375,305,230,179,154,126,97,111,108,63,82,53,60,56,33,36,31,26,15,7,4,15,7,4,3,2,5,4,0,3,0,1,0,0,0,0,0,1,0,0,0,1
2,87.97949025848766,65.09277777777778,211.5,53.57142857142857,87.84313725490196,213.97590361445785,35.31914893617021,92.15686274509804,40.00000000000009,2.9126213592233037,40.392156862745104,2.4759036144578204,171.49999999999991,141.5,0.078947368421069,173.97590361445774,143.97590361445782,2.3969562460367517,29.99999999999989,171.57894736842096,141.5789473684211,0.0,150,441260,0.0095049751012726,7.208816472861731,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,3,0,4,4,3,1,4,4,9,6,8,6,7,12,15,15,17,24,30,32,51,44,49,56,59,88,92,110,117,167,201,226,251,271,346,384,435,565,634,732,885,1131,1373,1498,1992,2803,4076,4350,6583,10107,18202,55036,1823794,75356,20183,10887,6479,4464,3366,2597,2150,1704,1529,1227,1023,872,684,592,514,383,349,309,249,235,228,197,156,124,121,91,87,80,62,45,59,47,42,29,23,22,15,13,13,16,4,7,7,10,4,4,3,4,3,5,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3,61.950761477623466,59.7665697337963,200.0,1.6304347826086898,72.15686274509805,170.00000000000003,38.70967741935485,12.15686274509804,240.0,4.49438202247191,34.901960784313715,29.999999999999968,40.0,8.83720930232559,48.57142857142861,69.99999999999997,38.83720930232556,78.57142857142857,31.162790697674406,8.571428571428612,39.73421926910302,0.0,156,272857,0.0095086911272193,7.60608947798305,1,1.0,2,1,4,5,3,5,3,9,8,16,14,20,20,19,32,29,38,28,26,37,32,36,45,35,40,36,60,53,53,60,61,78,100,124,110,135,151,163,223,229,257,319,356,468,515,599,708,889,1154,1332,1628,2103,2368,2966,3599,4340,5801,6860,8460,10804,14540,18238,24153,32136,43773,64972,126818,1275034,150030,66883,43362,31015,23139,17587,13538,10640,8428,6910,5791,4870,4059,3593,2980,2642,2226,2010,1725,1573,1375,1234,1151,1005,905,806,750,681,602,530,476,406,372,341,341,285,238,257,210,178,162,137,126,100,96,76,64,62,50,46,44,23,19,22,22,21,10,8,5,6,1,8,1,4,0,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,2
4,91.53184654706791,31.206397569444448,217.50000000000009,3.3472803347280333,93.72549019607844,213.75000000000003,22.857142857142865,54.90196078431373,207.27272727272728,12.359550561797741,69.80392156862743,3.7500000000000284,10.227272727272775,8.558823529411796,15.000000000000027,6.477272727272746,4.808823529411768,11.25,1.6684491978609801,4.772727272727252,6.441176470588232,0.0,98,224152,0.0095198537457138,7.598047317282091,1,1.0,2,0,0,0,1,0,1,0,0,0,2,0,3,1,3,1,3,1,3,3,5,2,15,12,9,11,13,18,11,17,22,42,59,100,159,191,194,170,135,302,336,439,402,564,774,829,822,912,1151,1607,1730,2414,3289,4206,4318,5551,6759,6508,9217,12045,19286,28104,58937,169116,1510230,75877,45574,24691,14935,10748,7245,5389,4226,3397,2685,2156,1853,1534,1285,1066,936,936,863,842,837,673,716,796,698,710,738,733,650,523,455,427,361,257,296,456,321,405,215,242,258,252,351,222,202,247,221,184,182,194,177,169,278,217,134,173,186,246,178,133,136,133,143,118,142,165,115,108,51,92,183,78,28,30,42,5,13,3,2,1,2,0,0,0,0,2
5,54.10191261574074,78.91967689043209,37.14285714285714,19.17808219178082,85.88235294117645,67.68292682926828,89.61748633879782,71.76470588235293,37.499999999999964,18.181818181818183,34.509803921568626,30.540069686411144,0.3571428571428328,3.6134453781512548,37.14285714285714,30.182926829268308,34.1535150645624,67.68292682926828,3.970588235294088,37.499999999999964,33.529411764705884,0.0,178,182051,0.0095235794728073,7.786841146463599,1,1.0,1,0,0,0,1,0,1,0,0,1,0,3,0,0,4,1,0,1,1,3,1,4,5,3,3,2,4,6,13,11,16,20,14,24,29,38,46,59,79,85,93,95,107,119,153,153,184,199,188,229,251,242,294,331,380,386,454,550,563,703,831,968,1140,1300,1555,1795,2251,2863,3527,4344,5712,7441,9717,13965,16053,21022,29107,40579,59682,96260,183464,971293,211873,105497,66261,43499,30407,22687,17755,14237,11488,9401,7828,6404,5394,4728,4063,3537,3115,2851,2631,2406,2253,2042,2001,1900,1770,1496,1228,1058,794,558,384,245,152,105,69,45,41,28,27,25,29,29,23,18,14,17,19,11,17,10,11,11,14,6,10,6,8,5,3,8,5,5,1,5,1,6,2,1
6,148.79945601851853,165.2815485146605,105.94142259414222,94.84126984126983,98.82352941176471,350.1724137931035,63.3879781420765,71.76470588235293,345.0,34.71074380165289,94.90196078431372,244.23099119896125,239.05857740585773,26.910585589736968,230.6103015437888,5.172413793103488,271.1415767886982,13.62068965517244,265.96916299559484,8.448275862068954,257.52088713352583,0.0,180,307981,0.0130011246497961,7.593261262543581,1,0.9921875,1,1,2,1,0,1,1,1,1,1,2,0,3,1,5,1,3,4,5,6,7,17,7,6,9,14,11,10,17,19,17,17,29,20,51,37,35,55,62,92,122,112,153,139,178,226,282,268,358,468,555,696,853,1043,1382,1796,2228,3103,3934,5500,8086,12495,21189,42228,132193,1605828,125869,39744,20849,11679,7502,5068,3435,2616,1954,1587,1152,1019,781,652,487,440,359,306,243,211,185,153,139,139,148,121,92,85,81,45,45,45,41,37,32,32,29,23,21,18,12,16,16,12,14,14,13,8,9,3,7,3,6,6,2,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,81.69028549382715,54.94842062114198,139.99999999999986,1.2244897959183745,96.07843137254902,209.15887850467288,62.57309941520468,67.05882352941175,162.8571428571427,4.242424242424244,64.70588235294117,69.15887850467308,22.857142857142858,45.45454545454561,70.00000000000017,46.30173564753022,23.70433305012748,0.8411214953270871,22.59740259740275,47.142857142857316,24.54545454545456,0.0,157,409028,0.0052354480895712,7.40366455600914,1,1.0,1,0,1,1,0,1,0,2,0,2,2,2,0,2,1,2,1,1,2,1,2,2,5,2,7,0,4,6,5,10,3,9,10,11,4,11,14,22,11,17,24,16,16,25,31,37,49,36,58,85,71,93,170,230,295,292,329,447,443,377,588,813,976,1080,1132,1265,1614,2700,2448,3075,4540,6955,9832,13239,20791,26697,46431,89642,169690,1275020,157877,82916,45047,25256,15567,11942,9808,7501,6296,4979,4349,3608,2469,1979,1696,1644,1723,1146,1258,1102,714,571,430,424,257,219,139,115,80,88,109,75,28,36,32,37,26,19,20,7,33,14,5,12,0,6,10,10,13,14,13,12,16,9,2,4,5,1,0,0,1,0,0,1,0,0,0,0,0,1
8,62.08798996913581,74.35882474922839,76.36363636363635,18.032786885245894,23.921568627450977,120.0,2.380952380952384,98.82352941176471,209.73451327433625,51.8348623853211,85.49019607843138,43.63636363636365,133.3708769106999,142.16847372810673,23.86363636363632,89.73451327433624,98.53211009174309,67.49999999999997,8.797596817406856,157.23451327433622,166.03211009174308,0.0,178,271562,0.0044022419107912,7.517238645740499,1,1.0,1,0,0,0,0,1,2,1,2,3,2,6,3,1,3,0,2,1,4,1,7,6,4,6,2,14,11,14,17,11,22,18,24,25,34,27,20,34,43,32,43,50,58,60,76,91,92,115,108,175,193,218,265,309,351,448,483,657,821,1063,1364,1712,2026,2608,3379,4176,4933,6068,7447,9615,12349,18113,32686,116809,1577391,149325,35459,18791,12276,8917,7018,5548,4574,3662,2935,2503,2148,1822,1608,1338,1119,959,808,719,601,570,470,394,350,318,288,277,243,195,178,164,126,111,96,103,66,70,58,62,61,54,41,36,33,29,23,27,28,24,21,22,27,30,11,17,13,8,4,11,4,10,7,8,4,1,2,6,4,0,2,1,3,1,1,1
9,69.10781491126544,57.78496190200618,186.66666666666663,5.389221556886225,65.49019607843137,200.0,1.2345679012345636,95.2941176470588,191.42857142857144,30.43478260869565,27.058823529411764,13.333333333333346,4.761904761904759,19.503546099290787,22.385964912280716,8.571428571428584,6.1702127659574435,9.052631578947368,14.741641337386026,17.624060150375954,2.8824188129899246,0.0,154,361727,0.0036593981184141,7.794500677939809,1,1.0,1,0,0,0,1,1,0,0,3,4,3,2,1,2,4,0,7,5,11,7,8,12,22,26,27,28,34,31,46,53,68,85,85,77,122,143,158,171,202,251,331,418,513,639,842,982,1226,1699,2026,2491,3362,4349,5499,7333,9303,13657,18361,26055,45110,116934,1592764,84450,38067,23421,14824,10033,7424,5337,4008,3285,2758,2183,1897,1576,1404,1226,1142,1003,967,832,808,732,692,611,549,537,502,442,422,387,377,351,352,319,333,308,283,252,242,272,224,208,215,196,182,175,196,168,143,164,136,124,109,105,102,92,117,112,85,75,60,71,67,45,46,29,39,20,17,15,11,11,6,4,7,5,8,1,2,1,1,2,0,0,0,0,0,0,0,1
