,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
806,2,2,0,1,2,3,4,6,5,10,7,6,8,6,7,12,4,13,12,10,11,34,38,32,15,16,31,33,38,41,40,59,63,68,104,72,86,108,130,134,132,138,195,200,216,215,266,336,288,308,376,380,473,569,611,744,727,847,1110,1225,1391,1666,1925,2132,2471,2885,3398,3933,4827,5779,7179,8931,12091,16596,23462,34477,55103,127014,584390,102243,47988,30013,20295,15167,11895,9741,7839,6656,5153,4191,3267,2763,2361,2009,1666,1465,1254,1104,992,883,735,657,607,562,466,408,358,350,301,293,291,285,280,234,163,179,160,138,141,132,111,127,101,94,94,87,73,47,77,54,53,56,73,63,35,28,43,27,17,15,5,3,0,0,0,0,0,0,0,1
805,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,2,1,0,3,0,0,3,0,0,3,4,7,3,4,4,12,12,14,14,29,30,21,32,40,44,60,50,60,76,81,145,129,329,144,234,382,334,367,311,315,377,467,557,651,832,1036,1289,1593,2011,2540,3635,4829,6647,10505,15478,25521,63627,361912,955546,85661,30015,17502,10392,7347,5231,3465,2631,2190,1683,1401,1297,1011,839,658,521,462,394,406,370,318,260,241,224,151,127,104,97,83,72,79,77,77,43,60,37,44,42,35,26,27,20,19,18,8,6,2,14,7,0,4,3,2,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,3,1,0,3,3,4,2,4,7,4,9,6,8,10,17,27,15,32,24,34,41,42,51,59,63,75,91,130,142,149,169,214,231,271,353,376,479,664,792,861,888,1164,1665,2040,2635,4041,6381,11634,33432,596895,43256,12627,6719,3979,2773,2059,1658,1427,1147,996,810,700,560,438,351,313,210,219,183,143,143,123,80,73,62,54,41,42,35,28,18,23,23,24,9,8,3,3,7,8,6,1,3,2,7,2,3,0,4,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
803,2,1,4,5,3,5,3,9,8,17,14,20,20,18,32,28,38,28,26,37,31,35,45,35,41,37,60,54,56,59,61,76,96,122,111,134,154,161,223,227,259,319,353,466,518,600,710,884,1158,1326,1631,2093,2358,2947,3595,4333,5819,6858,8464,10792,14540,18222,24115,32084,43705,64878,126589,1273360,149803,66752,43302,30953,23104,17547,13513,10626,8424,6900,5783,4867,4054,3588,2973,2642,2223,2008,1725,1570,1374,1228,1149,1004,905,806,750,679,601,530,476,406,372,341,341,285,238,257,210,178,162,137,126,100,96,76,64,62,50,45,44,23,19,22,22,21,10,8,5,6,1,8,1,4,0,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,2
802,2,0,0,0,1,0,1,0,0,0,2,0,3,1,3,1,3,1,3,3,5,2,15,12,9,11,13,18,11,17,22,42,58,100,160,192,195,168,135,302,334,438,403,564,775,827,820,914,1152,1606,1727,2412,3291,4199,4326,5532,6774,6504,9204,12030,19276,28075,58804,168844,1508174,75709,45503,24660,14913,10740,7241,5379,4221,3396,2683,2158,1851,1531,1285,1067,933,932,861,843,836,674,717,796,696,710,738,732,649,523,455,427,361,257,296,456,321,405,215,242,258,252,351,222,202,247,221,184,182,194,176,169,278,216,134,173,186,245,178,133,136,133,143,118,142,165,115,108,51,92,183,78,28,30,42,5,13,3,2,1,2,0,0,0,0,2
801,1,0,0,0,1,0,1,0,0,1,0,3,0,0,4,1,0,1,1,3,1,4,5,3,3,2,4,6,13,11,16,20,14,23,29,37,47,59,79,86,91,96,107,118,151,154,183,200,191,227,253,241,296,328,383,390,448,549,563,700,823,960,1134,1297,1552,1798,2250,2858,3525,4336,5707,7427,9712,13979,16056,21062,29124,40503,59611,96134,183183,969806,211524,105329,66168,43460,30370,22655,17737,14223,11469,9384,7825,6397,5382,4728,4060,3536,3110,2843,2626,2402,2253,2038,1999,1900,1769,1495,1228,1058,794,558,384,245,152,105,69,45,41,28,27,25,29,29,23,18,14,17,19,11,17,10,11,11,14,6,10,6,8,5,3,8,5,5,1,5,1,6,2,1
800,1,1,2,1,0,1,1,1,1,1,2,0,3,1,5,1,3,4,5,4,7,17,7,6,9,14,11,10,17,19,17,17,29,20,52,35,35,47,56,89,117,108,151,131,175,223,279,271,357,470,553,695,848,1037,1381,1782,2245,3103,3947,5491,8071,12461,21185,42141,131958,1603855,125608,39643,20798,11648,7485,5059,3433,2617,1951,1585,1152,1019,780,652,487,439,359,306,243,211,185,153,139,139,148,120,92,85,81,45,45,45,41,37,32,32,29,23,21,18,12,16,16,12,14,14,13,8,9,3,7,3,6,6,2,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
799,1,0,1,1,0,0,0,1,2,0,1,1,2,0,2,1,1,1,1,0,2,2,1,2,3,4,3,4,2,2,5,6,9,3,9,8,9,6,10,10,15,15,12,17,19,16,14,22,27,28,40,37,31,35,52,43,49,46,58,70,84,115,118,143,172,176,282,379,358,388,393,471,471,675,737,768,1048,1286,1675,2222,2833,3815,5254,7930,15896,33610,107642,58449,31320,14462,7154,4681,3748,2847,2219,1742,1382,1055,805,833,512,393,397,312,262,233,175,194,185,135,130,93,78,86,53,42,25,36,23,12,20,13,10,12,23,14,23,10,3,6,0,8,3,4,3,2,2,4,1,4,0,3,1,0,1,1,1,0,1,1
798,2,0,0,0,0,3,4,3,1,7,6,2,2,2,4,5,3,7,7,3,10,12,12,15,10,22,16,17,25,28,23,25,30,44,26,38,53,51,51,70,68,83,101,110,119,166,177,216,271,286,333,432,456,604,764,940,1255,1516,1834,2229,2994,3663,4353,5278,6261,8065,9913,13058,20164,38679,168900,1566189,98983,31505,17282,11713,8717,6851,5454,4488,3667,2950,2511,2130,1833,1640,1386,1178,1002,798,794,645,532,552,427,362,333,287,282,265,236,176,171,168,121,114,89,98,80,65,55,59,58,59,50,36,33,32,24,20,29,26,20,23,20,27,28,13,14,15,7,5,11,5,6,8,9,5,1,2,5,2,4,1,1,2,2,2,0,1
797,1,0,0,0,2,1,0,1,3,3,2,2,1,2,4,0,6,7,12,7,8,9,21,23,27,29,35,32,46,53,74,92,83,74,121,142,157,176,201,248,334,414,515,634,846,991,1220,1694,2016,2483,3352,4342,5496,7333,9281,13632,18326,26017,45019,116776,1590683,84319,38002,23356,14797,10021,7402,5327,4003,3278,2753,2178,1893,1574,1403,1224,1141,997,966,830,807,732,692,610,549,535,501,439,419,387,376,351,352,318,333,307,283,252,242,272,223,207,215,196,182,175,196,167,143,163,136,124,109,105,102,92,117,112,84,74,60,71,67,45,46,29,39,20,17,15,11,11,6,4,7,5,8,1,2,1,1,2,0,0,0,0,0,0,0,1
