,Wmc,Wmc2,Wmc3,Wmc4,Wmc5,Wmc6,Wmc7,Wmc8,Wmc9,Wmc10,Wmc11,Wmc12,Wmc13,Wmc14,Wmc15,Wmc16,Wmc17,Wmc18,Wmc19,Wmc20,Wmc21,Wmc22,Wmc23,Wmc24,Wmc25,Wmc26,Wmc27,Wmc28,Wmc29,Wmc30,Wmc31,Wmc32,Wmc33,Wmc34,Wmc35,Wmc36,Wmc37,Wmc38,Wmc39,Wmc40,Wmc41,Wmc42,Wmc43,Wmc44,Wmc45,Wmc46,Wmc47,Wmc48,Wmc49,Wmc50,Wmc51,Wmc52,Wmc53,Wmc54,Wmc55,Wmc56,Wmc57,Wmc58,Wmc59,Wmc60,Wmc61,Wmc62,Wmc63,Wmc64,Wmc65,Wmc66,Wmc67,Wmc68,Wmc69,Wmc70,Wmc71,Wmc72,Wmc73,Wmc74,Wmc75,Wmc76,Wmc77,Wmc78,Wmc79,Wmc80,Wmc81,Wmc82,Wmc83,Wmc84,Wmc85,Wmc86,Wmc87,Wmc88,Wmc89,Wmc90,Wmc91,Wmc92,Wmc93,Wmc94,Wmc95,Wmc96,Wmc97,Wmc98,Wmc99,Wmc100,Wmc101,Wmc102,Wmc103,Wmc104,Wmc105,Wmc106,Wmc107,Wmc108,Wmc109,Wmc110,Wmc111,Wmc112,Wmc113,Wmc114,Wmc115,Wmc116,Wmc117,Wmc118,Wmc119,Wmc120,Wmc121,Wmc122,Wmc123,Wmc124,Wmc125,Wmc126,Wmc127,Wmc128,Wmc129,Wmc130,Wmc131,Wmc132,Wmc133,Wmc134,Wmc135,Wmc136,Wmc137,Wmc138,Wmc139,Wmc140,Wmc141,Wmc142,Wmc143,Wmc144,Wmc145,Wmc146,Wmc147,Wmc148,Wmc149,Wmc150
752,1,1,0,0,0,0,0,0,1,0,1,0,3,1,0,1,3,0,0,3,2,1,4,4,7,3,8,11,6,7,11,17,9,20,19,18,13,23,18,38,31,44,40,43,65,56,87,107,95,126,148,157,180,231,256,304,378,444,577,650,815,899,1182,1505,1664,2123,2550,3281,4100,5251,6849,7828,10179,14043,22154,50518,218727,54607,23839,14645,10491,7825,6122,4796,3842,3079,2513,2048,1685,1374,1092,900,758,589,485,412,342,251,235,206,161,149,120,111,87,77,51,62,42,43,28,24,22,19,17,21,10,14,9,19,9,5,9,8,5,3,4,4,3,2,1,1,3,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
751,1,0,0,0,0,0,1,1,0,0,1,1,0,2,5,0,2,1,2,5,3,6,7,7,15,10,14,14,11,17,19,26,16,28,40,34,43,40,45,62,57,63,86,92,112,130,141,165,189,211,241,278,334,387,389,490,550,654,746,972,1058,1235,1490,1778,2112,2570,3005,3739,4723,5557,7091,9146,12385,17530,24463,35890,60508,135313,934847,174414,69134,39238,25346,17783,12778,9709,7561,5834,4705,3767,3263,2582,2161,1776,1395,1209,1046,892,746,657,532,491,409,342,303,250,249,225,189,149,123,124,107,83,85,77,59,60,54,56,42,29,34,26,27,32,22,19,11,14,18,11,11,5,10,7,3,8,6,2,0,5,3,1,0,0,0,1,2,2
750,1,0,2,0,0,2,0,0,1,1,1,0,1,1,0,0,3,0,2,3,2,3,6,1,8,7,5,6,3,9,16,9,14,14,22,9,20,29,35,28,38,28,32,48,49,67,59,75,85,97,112,121,156,140,214,230,310,344,405,497,646,771,894,1113,1373,1620,1951,2365,2897,3558,4460,5889,7739,10076,13568,19216,29584,56895,212006,1024106,87273,39560,23331,16045,11103,7962,5952,4355,3180,2511,1956,1463,1217,916,730,611,562,425,397,311,272,227,203,186,149,144,108,106,94,78,79,85,61,57,47,43,24,38,37,23,23,14,19,21,14,22,11,8,16,11,5,11,6,8,6,7,5,5,3,5,1,2,2,2,0,0,0,1,1,2
749,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,2,1,0,2,6,2,2,6,6,5,3,1,7,6,7,6,12,8,16,16,15,16,30,22,18,29,19,29,36,47,26,39,50,66,70,88,83,126,134,160,186,224,288,333,402,522,626,793,931,1091,1460,1704,2072,2584,3238,4049,5129,6508,8485,11388,15115,21845,33726,65968,679310,164247,52073,29053,18950,13083,9477,6944,5312,4184,3076,2423,1914,1475,1202,965,765,581,508,392,315,272,232,174,152,130,108,98,77,60,75,54,36,43,43,28,31,27,17,16,15,12,18,11,13,12,6,4,9,8,5,7,10,4,7,4,2,5,1,1,3,0,0,2,1,1,0,1
748,1,0,1,0,1,0,0,1,2,1,2,1,1,1,3,4,1,4,4,6,5,9,11,5,8,14,12,11,11,13,17,20,28,30,36,31,30,49,39,48,57,57,89,72,86,103,115,166,171,200,256,312,410,420,517,575,727,919,1055,1295,1570,2006,2440,3105,4000,5287,6964,10280,13164,18360,27717,46692,125470,786861,87509,39537,23646,15669,10871,7595,5679,4090,3073,2336,1803,1397,1187,918,761,614,485,406,336,287,265,216,203,167,161,118,128,76,87,74,58,57,42,44,54,26,26,28,25,20,7,15,7,11,10,5,6,6,2,3,2,3,1,0,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,2,1,2,6,0,0,2,5,10,5,5,9,12,20,15,36,34,27,51,62,82,117,126,319,683,361,325,339,255,317,429,449,529,600,707,852,1107,1340,1726,2109,2392,2990,3642,4732,5867,8038,10778,15148,21571,33225,56598,99476,220267,576665,277185,120417,65909,37564,23257,15822,10876,7743,5766,4364,3297,2751,2224,1952,1642,1318,1043,823,671,561,491,448,349,271,228,200,177,127,157,100,86,84,63,46,42,37,25,26,13,18,13,11,5,10,6,5,2,0,1,1,2,1,0,0,1
746,1,1,0,0,0,0,0,0,2,0,2,3,3,2,1,0,2,5,9,10,10,7,19,14,18,27,25,38,27,32,36,33,58,52,63,63,93,81,89,127,127,142,149,181,192,215,215,285,323,389,469,530,645,805,942,1112,1361,1667,2093,2471,3092,3757,4655,5663,7185,9127,12053,15515,22402,33483,62792,626047,365955,64483,34176,21978,15121,10869,7841,5905,4566,3519,2772,2217,1802,1534,1287,1075,879,781,706,561,495,436,377,331,282,250,231,190,175,141,118,137,113,103,82,66,69,65,52,54,39,35,34,26,32,25,26,15,19,17,14,9,8,9,10,6,6,9,4,3,1,6,3,2,1,1,0,0,1,1,0,0,0,1,1,0,0,1
745,2,1,1,0,1,0,0,4,2,0,4,1,0,4,1,4,4,3,8,6,4,11,9,10,10,15,11,23,24,25,27,30,33,20,43,55,45,60,72,67,78,102,109,125,138,179,167,194,223,287,317,341,438,516,643,695,833,978,1252,1433,1625,1954,2364,2706,3199,3762,4536,5292,6405,7986,10473,13299,16715,21790,29827,44011,71688,159368,705873,156038,73644,43872,29582,21079,15404,11660,9106,7137,5688,4490,3592,2941,2482,2042,1702,1500,1255,1113,993,796,620,641,556,457,426,376,294,250,264,189,201,173,141,135,126,114,103,83,73,85,55,58,57,42,24,40,30,27,23,19,12,20,13,7,8,9,6,5,3,4,4,2,1,2,0,0,0,0,0,1
744,1,1,0,2,0,2,0,0,1,1,4,6,1,5,5,5,2,4,3,6,7,5,6,5,9,9,14,16,13,12,16,16,18,23,28,21,40,32,52,38,62,66,57,97,83,129,157,161,206,225,294,340,390,427,540,658,821,930,1148,1358,1655,1886,2391,3011,4055,5034,6383,8012,10581,15204,23705,42389,129758,601686,70813,32351,19715,12874,9212,6931,5339,4213,3240,2658,2101,1762,1299,1136,851,753,606,478,383,283,249,239,189,157,120,131,105,78,85,62,57,37,52,48,37,31,30,33,19,14,20,17,18,13,11,10,13,13,7,2,8,8,2,2,9,3,5,2,1,2,0,3,1,1,1,0,1,1,0,1,0,0,0,0,0,1
743,1,0,0,1,0,1,0,0,1,1,0,0,3,1,3,0,4,2,5,10,7,7,5,10,7,7,8,8,14,17,14,15,22,30,39,27,45,39,43,44,48,56,54,97,104,112,126,129,197,215,241,321,326,460,495,577,698,789,990,1146,1362,1664,1906,2340,2798,3437,4119,5159,6658,8504,10923,15556,19677,27170,41382,78268,729970,150472,56837,34989,23525,16970,12448,9232,7146,5428,4246,3290,2645,2140,1738,1353,1102,877,754,608,486,419,365,292,264,203,177,145,125,103,82,71,59,74,47,37,43,35,29,28,18,14,14,19,13,13,13,4,16,6,4,0,6,5,4,2,2,2,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
