,Brightness
806,101.6020624357
805,153.781059188529
804,178.920594778807
803,152.979715309928
802,164.82860468107
801,124.593164384002
800,112.90581565072
799,159.390224569187
798,169.025154963992
797,141.233048161008
796,224.004378255208
795,222.839032921811
794,190.14175289223
793,171.618533859529
792,210.817712071063
791,170.342936117541
790,53.090568418502
789,186.210686427658
788,182.685101537367
787,123.573332312497
786,103.917188786008
785,183.76176753382
784,157.728280606996
783,144.709791335585
782,155.852010513117
781,80.5171591511058
780,161.376716017232
779,96.1539066720692
778,39.6555330478638
777,162.428343299897
776,189.192511959877
775,177.023165937929
774,164.363238972479
773,197.540566356306
772,150.305103041409
771,147.548983571245
770,199.965959490741
769,113.379691358025
768,149.206647215792
767,70.6154849054784
766,174.228460808899
765,215.0569539821
764,211.160039737654
763,152.119515978652
762,166.06031410751
761,158.624545235339
760,173.184429976852
759,143.23189525463
758,180.622463027263
757,112.391897344393
756,147.726489840535
755,150.881466370885
754,131.411914223251
753,194.135816229424
752,139.717166602366
751,194.788748571429
750,186.891494663066
749,156.28965004501
748,180.53057966821
747,145.721580825617
746,151.361507683899
745,110.751049864969
744,159.519160718879
743,134.448952707047
742,124.4975702482
741,153.463233989198
740,140.447422196502
739,193.0490936857
738,214.625027006173
737,194.587803170741
736,207.084959651492
735,138.938336709105
734,170.075745884774
733,163.593085133745
732,161.834763535237
731,153.185035686728
730,165.077230099023
729,155.155107060185
728,179.14080777392
727,157.33059526106
726,148.725393197016
725,171.315009484311
724,136.983267586163
723,167.345887731481
722,167.51034690072
721,217.667053755144
720,102.187324299126
719,185.691013263004
718,209.31005774177
717,157.251108539095
716,211.612903420782
715,103.148410815329
714,189.360231738683
713,165.371004854681
712,223.558592446853
711,142.661510095165
710,201.985489814815
709,182.73107297293
708,134.437065329218
707,177.952221579218
706,208.321876157407
705,146.690745563272
704,196.136342463992
703,216.442793852881
702,216.544402247299
701,202.152768904321
700,170.337019515175
699,162.001682902521
698,150.216505529835
697,149.22790316358
696,149.524073752572
695,218.125873038837
694,181.135624517747
693,129.16565313143
692,180.296290509259
691,226.26691567001
690,208.976980131173
689,132.457251800412
688,208.948796296296
687,224.547045556842
686,214.709526157407
685,206.489776851852
684,217.651454264323
683,118.360651845422
682,164.59088347412
681,131.548260185185
680,189.857802734375
679,153.694596193416
678,188.445048842593
677,225.020641718107
676,163.380258969907
675,163.919712255658
674,192.677973090278
