,Brightness
806,147.784706259689
805,158.673769285943
804,171.72624767051
803,152.966821057335
802,164.805191364103
801,124.549467552606
800,112.965650128627
799,126.45287132788
798,169.090708019091
797,141.224672791104
796,197.92085536717
795,202.637960814491
794,190.104055418656
793,178.440517429148
792,209.51729605762
791,191.917798942972
790,66.3246418005364
789,187.394850281917
788,147.319194666588
787,123.607036788865
786,98.5146331888204
785,193.364690137726
784,157.734253431534
783,172.140145115876
782,155.871488713928
781,80.5913373222228
780,161.324730532666
779,101.705196112934
778,39.6347669831414
777,145.353644709411
776,188.722578413825
775,177.026735261997
774,164.324043976309
773,197.954209472716
772,150.372430182531
771,147.517608601062
770,198.230699747266
769,113.388636936925
768,149.236833450764
767,70.5840553738729
766,181.107049826968
765,221.838630533084
764,131.959075243727
763,152.046456604568
762,165.181007609239
761,158.668655828896
760,182.504067639565
759,112.93432193429
758,180.63705427562
757,130.088221304884
756,147.841976186901
755,157.299944539477
754,131.425152559584
753,196.027507072387
752,152.407214299132
751,182.040248098402
750,187.280356709858
749,156.25037543284
748,180.50633829151
747,149.403123310941
746,145.79563899785
745,102.762896810728
744,159.526885884997
743,125.441562122727
742,124.42719709705
741,145.207107419718
740,138.344664120375
739,187.842566757649
738,205.049752029192
737,191.220061460252
736,204.401851994841
735,148.846542626451
734,170.870735806206
733,140.916071603222
732,161.792331270123
731,155.307165584118
730,165.064603745909
729,153.675244189174
728,179.170725558875
727,157.295413690851
726,159.230571736093
725,171.381276537657
724,136.961505839431
723,168.045539742975
722,166.814833601453
721,199.446168940922
720,102.169811384537
719,185.689066275803
718,214.05093025816
717,139.843145535707
716,186.206506005458
715,103.158916306607
714,124.749547621175
713,155.519560434153
712,221.640658233866
711,142.702722546076
710,206.716558886929
709,185.732743308454
708,147.144935569282
707,186.575168642879
706,208.171377883566
705,146.700071134643
704,193.546448482638
703,221.451538444609
702,215.864811806738
701,203.359457741433
700,170.348933052787
699,161.172215137191
698,154.636286246031
697,149.225431007343
696,146.034281687094
695,187.50772147636
694,158.034980620587
693,129.031829010282
692,180.156970311461
691,218.182475753089
690,210.611998798856
689,132.473390991189
688,174.955541645152
687,215.336364999638
686,212.768766110645
685,192.985802631579
684,205.50727200717
683,128.032166880367
682,155.460842978276
681,101.874548963026
680,163.875704373345
679,153.663928650938
678,186.144915782309
677,217.007873209604
676,150.710285715082
675,159.208422506845
674,171.831883904893
673,163.968282999307
672,156.94709336132
671,117.531231392351
670,144.009004572667
669,117.08239295707
668,123.696065249543
667,152.130154504961
666,172.673916154486
665,166.325812550224
664,203.7970558852
663,181.086053923569
662,134.980196999167
661,169.605475523543
660,212.989170859951
659,161.161317738791
658,218.726361473092
657,216.220513706227
656,182.951141433745
655,180.0930180443
654,205.412369619329
653,147.852925707089
652,157.189685037403
651,90.5188598049057
650,207.221099326023
649,160.514011453465
648,128.174937457372
647,200.164506377241
646,126.728182760175
645,144.94465729954
644,120.223828382958
643,144.504352615312
642,171.6560353527
641,214.961400682536
640,160.452437554221
639,195.462055436051
638,132.738925544255
637,207.216498433378
636,105.949780967821
635,128.773501525052
634,223.225699118312
633,153.113988155172
632,223.438568409537
631,124.395259244124
630,187.18904541286
629,116.888706397434
628,148.115970834217
627,156.939811252013
626,161.346798369586
625,224.428739072043
624,134.768551670941
623,138.228181256692
622,213.234763736691
621,160.024185743438
620,124.616380945291
619,128.078142508495
618,209.101883525558
617,185.250395554656
616,171.496049325292
615,130.567660828213
614,181.695106680234
613,173.429150225102
612,201.839216994773
611,209.510923424225
610,198.010894143422
609,218.65319019046
608,136.305032398398
607,123.259866812896
606,203.81177989261
605,196.335182608698
604,213.559926892172
603,197.006942993332
602,117.660919232158
601,143.341686784458
600,172.209444247229
599,128.098039022066
598,122.625985510766
597,125.584664149991
596,127.306135508888
595,226.645302558595
594,114.043412354622
593,214.466887061007
592,225.859525830162
591,213.795710870342
590,128.78428012916
589,200.763780067559
588,104.328840994202
587,219.125317911719
586,140.842081240705
585,205.954212180052
584,147.259152890869
583,174.227539124864
582,136.396017873217
581,186.71675609004
580,147.721892786671
579,111.655499427107
578,203.284458687934
577,150.98299803104
576,186.820884770731
575,188.032396849252
574,201.979480648483
573,108.042896059932
572,122.101682657932
571,183.40976755195
570,164.455492220198
569,147.78572929025
568,206.88784649311
567,91.3086546818535
566,193.731287468149
565,182.273856405208
564,120.468463721895
563,184.802840287545
562,131.931181603773
561,191.02191491522
560,132.948622726094
559,128.459619454359
558,145.015947405397
557,135.017237152341
556,217.418602052073
555,166.096367561508
554,180.796000271395
553,222.721924794331
552,170.097386632508
551,143.50121201004
550,200.443986434934
549,162.467334609137
548,139.562067617367
547,172.777035458797
546,213.943948285957
545,198.043837983269
544,201.140251362474
543,179.529754834432
542,164.639725282215
541,156.119956390499
540,160.531127170478
539,217.887162719453
538,192.915823954035
537,142.289731297228
536,201.269199794849
535,151.966052106342
534,197.657379859437
533,199.638225919061
532,151.575972491385
531,205.555681377697
530,158.474582227526
529,139.485893399771
528,191.769375424965
527,128.459681107748
526,190.914559534079
525,182.058844096509
524,210.117886734798
523,165.495145911503
522,118.862398525129
521,191.149401492275
520,200.999651025395
519,122.252990785979
518,150.246399629372
517,156.977902800939
516,205.524894087541
515,181.10185607621
514,198.353121455883
513,135.803181114211
512,136.01982641102
511,210.112849471071
510,144.318149149352
509,153.91549180381
508,156.554942994887
507,99.9030040123959
506,199.566812682315
505,176.896689528759
504,124.409772824582
503,155.237670808343
502,163.709608231465
501,123.437257900774
500,117.257922884509
499,194.031404016629
498,166.666205483572
497,118.022088280684
496,208.193090249799
495,206.685777440158
494,217.910394395392
493,142.894326778502
492,133.821537088199
491,147.751747142912
490,165.328211284862
489,190.128074141991
488,215.237398829342
487,107.160237746498
486,135.257325990963
485,144.977317792473
484,140.131404816904
483,155.184032563606
482,148.696955736745
481,220.31033043533
480,139.986869318485
479,120.250799578404
478,205.044126836417
477,172.171633744632
476,167.566967377602
475,146.329172969056
474,134.956398046398
473,212.348455318267
472,135.546775721398
471,161.906631301709
470,186.24276564981
469,128.115813077647
468,160.346986548808
467,170.699014157959
466,126.400160781357
465,206.60056045968
464,127.505730390373
463,152.873690802613
462,143.090864791597
461,125.261904266519
460,214.362355374572
459,126.252855245427
458,143.131037178596
457,216.470227811034
456,114.632826110314
455,204.158848904712
454,161.461252546013
453,125.331435926585
452,120.442136177045
451,129.955807768683
450,228.016591745753
449,146.447671048962
448,142.239909197565
447,212.845728703719
446,176.032123774226
445,168.50783304503
444,120.577540941451
443,199.424911334002
442,93.6003949093059
441,149.869114831662
440,200.045355463807
439,142.567312355773
438,176.525167532863
437,100.166860713832
436,185.055240032209
435,156.165827264996
434,220.90228159766
433,204.526858713426
432,145.300296692151
431,126.609366587637
430,148.08774874384
429,202.049562225624
428,163.754659850361
427,154.875083928094
426,151.375869287203
425,146.480354590208
424,121.761864003715
423,162.943767716845
422,164.027186839445
421,136.356822538534
420,139.532243753656
419,152.070142290938
418,176.559768982539
417,155.481474196494
416,165.325924380653
415,118.01853568979
414,166.774390575148
413,168.3058544866
412,150.196705620845
411,170.26690494757
410,147.368670804985
409,160.571493750479
408,138.223730596443
407,145.256302917605
406,195.627186082039
405,125.139468624518
404,136.692623718574
403,135.401126533657
402,102.634094419637
401,161.191677095493
400,219.381404095503
399,132.543626702387
398,116.915222879112
397,170.256939356485
396,208.242393915807
395,134.359616551327
394,152.11299292844
393,133.203930498522
392,168.804291093224
391,150.868827210649
390,151.1521402665
389,148.029161033436
388,197.441651685519
387,101.16363250106
386,105.123885069997
385,136.636650316362
384,217.706873357842
383,140.115372058565
382,164.839329085072
