,Brightness
783,117.341839463387
782,118.03843123071
781,138.73328430427
780,119.272066615226
779,123.54117814429
778,114.816043447293
777,146.916125900206
776,142.832494212963
775,142.420054816101
774,118.992627636317
773,135.294400511441
772,133.622205343364
771,157.931188573786
770,135.920210424466
769,183.468548096708
768,140.402637376607
767,157.135548592291
766,185.292036203174
765,165.81291680897
764,199.859899972563
763,187.961223509893
762,167.843897530172
761,137.505683513374
760,158.952113991217
759,122.136022799265
758,203.882805295039
757,208.867985961149
756,175.331139839163
755,150.096950275227
754,165.409559833187
753,148.822024963439
752,190.078843916919
751,172.082617095283
750,154.104813207305
749,184.786782946974
748,123.154462725983
747,196.548574280559
746,172.805821402611
745,153.094665959362
744,217.378884000089
743,149.467987718621
742,237.60909159499
741,170.712644628099
740,183.183212876616
739,186.845953045358
738,188.504095996142
737,204.505843320225
736,174.730235619927
735,193.001088828369
734,160.399824474462
733,122.829592576881
732,168.366652866524
731,197.847949711649
730,236.935927826287
729,215.740310508827
728,173.833187117055
727,190.078320246026
726,138.600648791152
725,167.485535003759
724,180.020321197136
723,192.78779924358
722,203.579981346131
721,143.549214694276
720,229.219462001077
719,213.510999915076
718,165.839313420546
717,200.52895242144
716,196.679224888091
715,218.602447613059
714,104.435993602109
713,211.815749288971
712,206.112464
711,189.188624767277
710,190.523622279539
709,195.394269067596
708,202.262491859925
707,188.543088831019
706,183.257038315855
705,183.833108351595
704,203.047783451616
703,163.835854293348
702,150.863467589389
701,224.517590629456
700,163.667736540618
699,100.178339924126
698,198.348972479424
697,185.597473341127
696,140.094221203747
695,183.652626409248
694,190.295370190258
693,167.198047931482
692,208.79095472277
691,180.06606586137
690,212.182007149799
689,195.796118105012
688,148.280200361395
687,233.675941116898
686,123.22974376286
685,182.418081385627
684,177.060100326992
683,188.393421494578
682,104.887889178241
681,207.833051727367
680,175.361293237924
679,170.475330256456
678,209.712275827588
677,214.192336832231
676,167.717618078281
675,216.700212153098
674,130.757296971451
673,235.335408715106
672,125.440803594393
671,199.020512984022
670,162.701569318431
669,221.856371875213
668,122.754306520062
667,166.67818488107
666,211.882381600636
665,151.609275916279
664,222.637854811914
663,195.629783554682
662,189.059014649208
661,175.936234207969
660,113.556794463735
659,151.271708888067
658,191.597334398934
657,187.850691390175
656,166.713214607905
655,173.091344936939
654,163.134311111111
653,178.821367449429
652,170.422118559557
651,178.227413271348
650,175.817598654117
649,184.239016099503
648,186.625024085008
647,164.56968520697
646,129.098364840535
645,198.758025156837
644,179.4762497575
643,189.867343046152
642,127.94163412657
641,188.673847475242
640,127.084879706576
639,190.71161483418
638,186.108968760008
637,126.291490997942
636,147.899590406379
635,210.744228479875
634,118.384123103138
633,200.910038158124
632,157.052249246723
631,212.300227360486
630,195.703934728577
629,167.263569096274
628,151.709595582729
627,212.903221164675
626,175.383803252083
625,226.666268162023
624,210.905989390613
623,117.756864872685
622,185.615522280093
621,186.115625042621
620,177.032318019966
619,71.5939259452429
618,222.038014280092
617,176.334670833153
616,158.151573171466
615,237.541728994083
614,157.863945348245
613,199.314594446424
612,205.264993522636
611,180.504477952046
610,199.461104611842
609,170.681212705761
608,136.531000925926
607,121.901533404064
606,223.395615277778
605,186.919538989564
604,115.288861400463
603,224.369972548653
602,204.704503370509
601,189.094985127597
600,186.432161855239
599,203.479912631483
598,156.393769609885
597,142.144470486111
596,186.237769928838
595,137.283103568842
594,126.399519997428
593,175.751088302968
592,119.2524627105
591,153.610301132583
590,212.675877498951
589,194.796034342448
588,144.335873007647
587,178.10226202964
586,131.223822492761
585,136.297334847465
584,95.0703076774691
583,205.692862945197
582,145.754889623557
581,119.891180877058
580,110.686632426698
579,200.906258170356
578,157.052249246723
577,130.859314557613
576,135.224406346451
575,87.49521678153
574,97.870098122428
573,122.848026138117
572,163.163777604167
571,117.625894257973
570,191.662997137906
569,204.479609878412
568,213.693505865929
567,138.021697636695
566,114.466377154064
565,121.12457731393
564,108.93381558642
563,122.004390110597
562,139.009324814313
561,140.448677377183
560,185.350187768176
559,145.726055131123
558,108.365152874228
557,175.17653939618
556,185.249390183412
555,185.866186725207
554,122.486377475566
553,132.469897571152
552,173.177585434694
551,136.27510113028
550,191.491987019298
549,108.118544399434
548,128.930049631219
547,125.125144997428
546,176.278156696508
545,181.790130358952
544,124.806710712449
543,168.9676369901
542,158.339209784671
541,162.892396637088
540,118.172009999396
539,146.269005715592
538,134.491617357002
537,174.545820501583
536,192.558775928128
535,101.113315329218
534,152.220113379442
533,192.777048128858
532,207.263203058417
531,212.345898457737
530,170.273288781424
529,193.68095510341
528,136.593120016718
527,95.263654092364
526,99.5639720955408
525,189.619430475323
524,180.094595164962
523,125.240438086969
522,122.86466242284
521,203.693424273466
520,222.131353603196
519,96.8422462277092
518,125.550911765631
517,128.953080666874
516,194.818508967643
515,45.8733740403935
514,183.276447839011
513,92.3128283036122
512,164.211047211791
511,185.249268360405
510,136.302157600309
509,144.342273461464
508,214.549816904578
507,189.227808839697
506,171.155027749243
505,105.34322702332
504,182.20867621786
503,214.072000841256
502,128.456252732767
501,184.271267774526
500,128.404620002801
499,187.462733714396
498,187.939944945689
497,193.58259618044
496,167.938100444259
495,172.806022175092
494,194.525951323908
493,124.046802436446
492,175.685399272276
491,168.487807477743
490,213.57967050632
489,101.919744803999
488,173.763785833594
487,128.443021945331
486,152.863608701038
485,125.578535093736
484,174.063285888274
483,217.182636642377
482,195.045441150469
481,149.791009980785
480,179.16071907719
479,165.381341054971
478,132.962219328704
477,212.785723573672
476,124.122082239065
475,192.847191058514
474,127.165558384774
473,175.072650041128
472,137.50952870747
471,136.6990550221
470,142.206001143118
469,206.12429863889
468,106.282888946045
467,207.648784858194
466,194.234661723357
465,186.891108186295
464,231.213660481771
463,176.994691937091
462,158.263080511125
461,204.028778506809
460,225.291599256472
459,199.238977555527
458,216.186778784153
457,107.704802597737
456,185.253564630887
455,172.24734206629
454,181.136283923947
453,119.392568962191
452,122.668996387229
451,113.810864502587
450,180.531801226294
449,196.15708275133
448,202.019874731693
447,242.941782884619
446,182.997558471251
445,188.882755541148
444,174.406233742045
443,165.266093551787
442,135.267610717756
441,215.791809045011
440,117.379485882487
439,124.095454872537
438,160.966833887551
437,119.891976829046
436,102.258611800814
435,120.737298811157
434,131.705710841049
433,119.261632305812
432,109.288648216912
431,127.756372492284
430,125.605819187243
429,144.031440329218
428,115.466168659979
427,116.645266846708
426,138.500814203961
425,122.157393904321
424,111.446777549154
423,128.059470164609
422,134.52663757073
421,101.108889549871
420,102.663021154835
419,120.042106296192
418,95.6922886025212
417,127.703652102623
416,114.968563103333
415,133.601928530093
414,143.735063175154
413,114.577720228909
412,126.137247460134
411,123.246640967498
410,123.441597865226
409,110.606926357675
408,127.208949331276
407,108.518322563014
406,116.076122685185
405,119.007511734825
404,131.055717839051
403,124.850403100775
402,116.101329411008
401,131.574497810472
400,129.438811777015
399,99.2592361111111
398,120.484851787551
397,117.76322862455
396,123.676152238247
395,166.056267505871
394,126.388901748971
393,120.77560313786
392,135.730981637402
391,113.949983442644
390,108.421318640689
389,140.758094296554
388,119.125150430543
387,115.177448559671
386,119.262424607767
385,111.957064364712
384,124.462837846576
383,122.920639884746
382,104.078837609311
381,99.0213453253601
380,132.561634677212
379,128.410720164609
378,152.623631044239
377,144.604611625514
376,133.325209458591
375,107.177859760802
374,115.439952417695
373,129.361238265175
372,151.045449450512
371,132.949118923611
370,141.279267848824
369,139.153639724794
368,137.129149305556
367,132.573857385992
366,121.194899852109
365,122.019462568074
364,51.9232400977366
363,128.605977366255
362,115.077538258745
361,107.992461629835
360,101.491411072531
359,126.583215827804
358,109.403099279835
357,107.685366673097
356,139.007520110333
355,148.087010187612
354,138.242853813014
353,130.210280028292
352,186.2526093107
351,132.419284331633
350,153.766830454636
349,139.238567547582
348,142.246397460118
347,158.907952356295
346,101.118583622685
345,113.612803337191
344,125.640315072016
343,110.829825906636
342,141.215060503299
341,132.355675880088
340,112.627131880144
339,118.953844521605
338,141.772435217335
337,142.029750459473
336,131.391954674386
335,142.001860898585
334,108.351807163066
333,124.41499117396
332,136.896167373971
331,140.320284207819
330,131.955266364455
329,122.466491452991
328,133.103454294598
327,119.397250514403
326,99.5038829390452
325,113.652316100823
324,109.513072273663
323,121.234262152778
322,133.257193875793
321,139.705635770319
320,153.1911620459
319,131.09541325835
318,157.052852552388
317,125.900507008745
316,136.212674736368
315,142.444865129887
314,127.446524324892
313,158.904277584877
312,84.918917502572
311,142.686559124228
310,147.209370016718
309,147.225130529835
308,112.974046015713
307,83.2239845204842
306,132.446727591307
305,124.484902064379
304,103.038524144805
303,119.109620145319
302,86.1941177664151
301,110.531651234568
300,141.156699778365
299,113.526841724537
298,108.986094507634
297,145.321275398663
296,121.058528002829
295,140.782081443689
294,44.7636208249271
293,116.141157728909
292,124.126098894033
291,85.7561799975651
290,129.42168434928
289,138.139151234568
288,145.289613072274
287,131.978992412551
286,112.571997498969
285,82.3786260609568
284,112.167161458333
283,124.353211805556
282,122.10512972608
281,120.594448141718
280,135.469107510288
279,122.493804976852
278,115.974124093696
277,114.260057548868
276,113.482738715278
275,71.9743464431051
274,72.0135346690403
273,152.251357060185
272,113.528079989712
271,141.230055772852
270,67.1476133294753
269,63.8565893344666
268,52.0765276489981
267,63.0768348122428
266,78.1890312071331
265,61.7534143518519
264,86.0547504162882
263,113.720777391975
262,68.0435725308642
261,111.803161811986
260,91.609356491014
259,46.8772159529321
258,33.4262782921811
257,90.6912677797856
256,77.4764996463477
255,114.498321598508
254,93.4541242283951
253,115.546639660494
252,68.7655685334931
251,106.117437628601
250,91.9871751221708
249,87.8186246141975
248,108.986554415642
247,95.602282664609
246,103.834954700998
245,79.2809066358025
244,101.606834490741
