,Brightness
783,116.117373326001
782,113.765711115926
781,138.143818601982
780,105.226646782205
779,115.134872923325
778,102.395650202555
777,141.933546752734
776,145.163839065286
775,139.603149261733
774,116.556109389928
773,118.509452879747
772,131.152825105465
771,123.489810468428
770,89.8338411316649
769,142.766037905265
768,105.895276034937
767,140.963956363496
766,131.516211048823
765,134.152397371147
764,141.987542709771
763,134.404224601747
762,92.9128926736638
761,123.278734316564
760,94.3214298697994
759,119.503254260538
758,167.274501617785
757,150.406557021115
756,148.173896679766
755,88.5779254954513
754,139.850704997957
753,91.6244318587683
752,156.789342859998
751,132.49413066412
750,73.6910101499129
749,137.529221071666
748,62.5734927154845
747,119.949185219029
746,123.683616067076
745,150.027562101027
744,193.977446000325
743,137.980509482935
742,186.485785432662
741,133.716919989595
740,115.62898781784
739,174.779987392296
738,132.892862884349
737,157.755973962343
736,107.19289599841
735,163.757042033602
734,141.990824980066
733,106.532451522041
732,98.6899714865463
731,164.92677996616
730,217.696822098443
729,126.883753813895
728,149.070562216951
727,131.931218381302
726,136.193041887755
725,83.3349261261261
724,150.09405624073
723,154.553399514972
722,158.311269287782
721,91.9011028470486
720,185.769401020264
719,152.770830437123
718,112.908516229846
717,165.048215147301
716,155.639300775194
715,189.547132117373
714,106.995139473075
713,181.69329949949
712,82.0345027139208
711,139.527353146533
710,139.461403823044
709,160.181673966757
708,181.501279749315
707,144.885790782812
706,138.900629799438
705,130.115982724929
704,142.28372602447
703,131.719360463438
702,105.113264404911
701,204.251639370797
700,109.787445267097
699,99.9452660267009
698,146.433410038073
697,109.997971055544
696,95.5398438974861
695,158.204688982622
694,142.911018605378
693,125.207634342052
692,148.725137352966
691,158.263432036184
690,157.631710450992
689,189.349742736077
688,106.499474944949
687,215.268222758387
686,111.125573820999
685,145.400816737329
684,133.429668346322
683,149.817444504988
682,104.126329861305
681,193.199962805451
680,132.309025518868
679,126.205389354573
678,148.477583090927
677,189.720087370772
676,118.860264876239
675,187.009176510871
674,124.342654150039
673,211.452848083816
672,126.214137890889
671,156.582289288643
670,118.888348996598
669,190.942998425751
668,121.27681718835
667,104.921394107178
666,188.47194708351
665,132.110943750568
664,191.331503524545
663,135.076413192205
662,163.762887546947
661,138.68887800486
660,112.755290906422
659,129.855119976677
658,144.133143033419
657,144.102401811646
656,137.365752680783
655,131.628136603186
654,112.174780681146
653,143.260401377248
652,120.517525685719
651,144.012036829727
650,157.196241530277
649,145.278739832363
648,134.989807887742
647,120.997376850512
646,107.280238926071
645,159.436861932869
644,166.011088252832
643,161.714257905155
642,56.7479494150267
641,137.349103867811
640,60.4449021099031
639,144.094318577902
638,131.996234205778
637,126.264367394286
636,131.696255041369
635,184.028168567369
634,118.665686893218
633,175.315979038104
632,141.932951466652
631,198.666379768532
630,136.771878850678
629,113.011366631463
628,115.954840738648
627,205.073947311417
626,113.234977684025
625,220.014940530066
624,195.637954611417
623,121.871783334089
622,116.912134179332
621,138.278500510302
620,131.59205269253
619,67.9067302842161
618,191.947310681234
617,99.7183966069996
616,144.34024456962
615,223.497373400016
614,120.860379585624
613,133.108664004395
612,139.744529542921
611,147.227905851032
610,178.636390292394
609,152.935495068886
608,76.3234587245262
607,121.182660785307
606,181.430627900825
605,134.378747137354
604,116.392390987965
603,159.962444236954
602,174.131383660528
601,168.560934806307
600,158.82168699187
599,174.193388588589
598,111.501253637924
597,96.8548212482818
596,151.094129367428
595,110.872855438097
594,127.079755520707
593,139.471872731348
592,101.572786634159
591,118.783990104017
590,156.78408097166
589,156.556347324354
588,126.358805983282
587,142.502592100733
586,96.3285232289896
585,109.675125450608
584,95.3542297665904
583,199.954756877117
582,84.2693458981717
581,112.897016209892
580,93.1191915943637
579,163.38071313813
578,141.932951466652
577,91.4050487827981
576,134.339596011875
575,87.3045769095103
574,97.7454472107184
573,124.193271590119
572,138.440854308296
571,119.667916671489
570,132.483626324055
569,152.362962754738
568,128.054308193253
567,120.15611851379
566,116.074365849156
565,104.296700953287
564,103.847422479185
563,119.73022598497
562,101.796222318861
561,112.590871732857
560,101.78728949136
559,99.4576248657153
558,108.346248641576
557,150.970031981549
556,132.66754443713
555,135.400968215812
554,106.888851880213
553,133.134376268193
552,112.042119444855
551,129.954733175321
550,140.282426216845
549,118.706088798429
548,107.434456560801
547,115.547017850403
546,145.564520964309
545,161.854024658249
544,121.544503614086
543,124.967066395399
542,122.310327714428
541,129.149076525567
540,100.353330169277
539,107.126108539505
538,106.818589297317
537,155.79805953774
536,142.556495921224
535,90.0254240590398
534,119.395591206158
533,140.603957378498
532,173.811708160721
531,178.305447157121
530,128.316790373369
529,173.7651021985
528,97.0245111317431
527,95.2410829381276
526,97.8032682775848
525,135.319534271602
524,146.689606641637
523,100.226430193287
522,121.719280750521
521,147.541017796542
520,179.103258459687
519,97.0198624397068
518,92.8986759226108
517,117.331885090757
516,154.581200360982
515,53.6409164906723
514,150.732473747764
513,93.0423768358835
512,127.21048924719
511,180.350574712644
510,125.657484532463
509,104.438355815054
508,160.115649605058
507,170.394380258097
506,87.6512613981763
505,81.5233839947462
504,116.888186472231
503,172.668626686456
502,130.149447475609
501,151.43258974109
500,108.339621120516
499,143.731331059579
498,113.313071654843
497,135.710349510989
496,115.436625438845
495,130.955484363082
494,161.253152265901
493,105.377664495228
492,141.779718795129
491,131.299494803347
490,169.072287087912
489,81.2847424837485
488,139.642625149448
487,118.304887755102
486,91.8953956081797
485,102.226587112172
484,138.240421050983
483,196.136847334965
482,147.373996686303
481,98.9962455114394
480,154.712349019885
479,127.07409229345
478,133.00352856163
477,196.532168197494
476,73.4039109147233
475,160.451962682626
474,107.847344091914
473,160.249631104291
472,100.69640051909
471,101.47902486419
470,123.244166677504
