,laplacian
0,-0.0858021192114163
1,-0.11955898745662225
2,-0.1482442599313758
3,-0.1724835251626173
4,-0.1862516767802062
5,-0.11678285883736893
6,-0.2255712640418225
7,-0.1239296083590562
8,-0.14588851503366582
9,-0.10414205992955053
10,-0.1863740449861264
11,-0.10873194155774224
12,-0.2355196271703173
13,-0.127990406446419
14,-0.1226997061729404
15,-0.15192916766541534
16,-0.1879289057202216
17,-0.18609766066696792
18,-0.18307552963337284
19,-0.07678590065360869
20,-0.07020932833621647
21,-0.21967105147703167
22,-0.18732928697556245
23,-0.12080009852373885
24,-0.10403140878989904
25,-0.07166829648845285
26,-0.2347169817799361
27,-0.14409753735887398
28,-0.13600613709320394
29,-0.12983613811509973
30,-0.14120987270161744
31,-0.22373076153795432
32,-0.1967470340052496
33,-0.15350890392927766
34,-0.0872686075273301
35,-0.20841841462944152
36,-0.15835155011113627
37,-0.1788246422147694
38,-0.05111709856994512
39,-0.16699297231918622
40,-0.12969925718792796
41,-0.1469546359148353
42,-0.11300424093662785
43,-0.13933104406649968
44,-0.10763117458414276
45,-0.12572028235934066
46,-0.1309973115847568
47,-0.1232537300582917
48,-0.11880780136655482
49,-0.13696087517198496
50,-0.20172430517109027
51,-0.15619361625142678
52,-0.10368006247071622
53,-0.10200765377720401
54,-0.12273915421996212
55,-0.09600301103984774
56,-0.2481246713463537
57,-0.17367153649534384
58,-0.11922327307860507
59,-0.126404265059412
60,-0.1377406134067155
61,-0.17341309465994215
62,-0.15540399216760215
63,-0.07835689500624275
64,-0.15903220763449327
65,-0.08552020320679228
66,-0.06588262122532235
67,-0.09207013744712987
68,-0.16364444012667972
69,-0.15752979645945744
70,-0.07275824806770126
71,-0.12911673838581395
72,-0.1908079033836441
73,-0.06503132024298935
74,-0.19943207068997415
75,-0.1984864528408133
76,-0.11584353450485352
77,-0.14928653628852814
78,-0.13552924815082987
79,-0.16125754979941312
80,0.13446035599367415
81,-0.06634886394790987
82,-0.18106365811473574
83,-0.09830847241318204
84,-0.05174447640015919
85,-0.11936534266921273
86,-0.20777530820830986
87,-0.08220513588386898
88,-0.1301314182908587
89,-0.15499854557480627
90,-0.1761659374804447
91,-0.15680792746743913
92,0.09774031058032967
93,-0.1036128219621812
94,-0.17575556694678846
95,-0.20506903409929886
96,-0.21731395277600296
97,-0.18095624849814346
98,-0.1808637291237736
99,-0.11389164644112508
100,-0.1323408157246141
101,-0.062429284249613776
102,-0.18774559019568726
103,-0.2148745971813756
104,-0.17416287280503234
105,-0.1443132973102107
106,-0.17469779917341044
107,-0.16267601745774604
108,-0.12211115145024715
109,-0.20374233333530486
110,-0.1967311059426124
111,-0.14965494164975984
112,-0.14678881796876225
113,-0.109553298685517
114,-0.13538211526436164
115,-0.1604785547957264
116,-0.15659572130442995
117,-0.13574732894472266
118,6.843184248741966
119,-0.14971109295526205
120,-0.1384247014497501
121,-0.050729590816032566
122,-0.14432949659630662
123,-0.13344501390230326
124,-0.15367122020260274
125,-0.1112077753479724
126,-0.1723558702222709
127,-0.13710726637608167
128,-0.17592491004560035
129,-0.0953779942075111
130,-0.18860818837680626
131,-0.017711147482448
132,-0.08276207947267047
133,-0.1374438745896497
134,-0.18603260907666386
135,-0.16614840926184246
136,-0.21522827334807787
137,-0.053602335787398314
138,-0.08652923503168049
139,-0.1358159023146103
140,-0.13387126332408394
141,-0.1666882821223062
142,-0.05784925038686181
143,-0.16863472088341816
144,-0.022710203377147662
145,-0.11479084890483135
146,-0.1343340662406264
147,-0.2367159956322332
148,-0.15499213574839998
149,-0.1871145506620024
150,-0.07485493147147106
151,-0.15180482291371575
152,-0.16982858649252378
153,-0.20688492765061225
154,-0.1954355401980736
155,-0.2123127188652584
156,-0.0827219476437809
157,-0.02852386287415817
158,-0.2298420586203573
159,-0.21469753184971746
160,-0.1114293758031687
161,-0.21325714550356628
162,-0.09045005219019148
163,-0.13767338957094666
164,-0.2585267333644201
165,-0.16794419260932855
166,-0.11672283518044894
167,-0.1324915314140055
168,-0.07218221916737295
169,-0.11082979358766157
170,-0.14322001097717238
171,-0.18333581403233293
172,-0.1630147830694844
173,-0.16280512473133815
174,-0.12367909813426138
175,-0.19223919502011835
176,-0.06705370988846425
177,-0.06377601513605265
178,-0.0950681251621904
179,-0.16377642278860394
180,-0.16090773539606987
181,-0.13364321189309628
182,-0.1281905004414635
183,-0.08691609773296881
184,-0.11821689327116112
185,-0.14011886116788014
186,-0.1462283031942865
187,-0.1970731911666461
188,-0.2167923735927452
189,-0.16825170547533067
190,-0.16789197817124013
191,-0.15864297965336552
192,-0.14327655488195634
193,-0.17999817543185134
194,-0.11043670688170618
195,-0.10373177285484388
196,-0.13171165054548808
197,-0.2052980420521155
198,-0.08759239142661628
199,-0.1301424588644592
200,-0.18240933089303774
201,-0.15120346107810548
202,-0.16838614898838114
203,-0.13957535344468416
204,-0.09083695645153188
205,-0.18683631901918493
206,-0.13445193412995518
207,-0.15740245452097829
208,-0.17601095944284936
209,-0.120545406270311
210,-0.17082957003986932
211,-0.20974268754920602
212,-0.11344284154573345
213,-0.12676953786108888
214,-0.0933871136979821
215,-0.17647605339027211
216,-0.12611568344834512
217,-0.017696586741739663
218,-0.1730707897871166
219,-0.1143223214444677
220,-0.10452399968155608
221,-0.10318609833167912
222,-0.14318322845368622
223,-0.12924023391502631
224,-0.27339746441131363
225,-0.14035439516047046
226,-0.1605565186589056
227,-0.16964476775718992
228,-0.16223201640457768
229,-0.04919823518729958
230,-0.1126264210144434
231,-0.06669345605978386
232,-0.21587400517031224
233,-0.09788667023806108
234,-0.24309762560004045
235,-0.19166802273819225
236,-0.22020586154209545
237,-0.17477695839660864
238,-0.17462486396395138
239,-0.2452955603557119
240,-0.2273597072048627
241,-0.14264821519214668
242,-0.18629972844992276
243,-0.1195005817020832
244,-0.18294963238863846
245,-0.1249102454098704
246,-0.21271463177660035
247,-0.12653655765397567
248,-0.12258895596822646
249,-0.14990137727371866
250,-0.11627790461181332
251,-0.17004991530739594
252,-0.241170171800974
253,-0.2143000046458586
254,-0.17651315956271627
255,-0.25962758100024386
256,2.2734093618494824
257,-0.13924523430872715
258,-0.030719772646571837
259,-0.14178463949373504
260,-0.05472493008906959
261,0.08585396642596975
262,-0.07160165131752462
263,-0.22007446721222226
264,-0.21078709540941995
265,-0.16715502949970942
266,-0.19732035888287786
267,-0.15846646168797318
268,-0.1313097378599376
269,-0.20659414120109174
270,-0.17685392367125227
271,-0.08857099866774035
272,0.2597216944990019
273,0.02577312046869746
274,-0.01292827152597289
275,-0.1803001708198056
276,1.9365491243909423
277,1.7879633102139452
278,-0.17151679800241046
279,-0.1373886838497906
280,1.5637810211574392
281,-0.04409898324280735
282,-0.2252023039831635
283,-0.23863739975070636
284,-0.013518676921729695
285,-0.1154135099890342
286,0.16388293927231928
287,-0.28010914345533233
288,0.01783522592585574
289,-0.13687966231423668
290,0.600119588570675
291,-0.12781066717554151
292,-0.10631837421430408
293,-0.09454445850993216
294,-0.06186539469231045
295,-0.20229233030602686
296,-0.1909309308070198
297,-0.18012647040936966
298,-0.11434530544256585
299,-0.16045754106011292
300,-0.2192132065017824
301,-0.015111307596618332
302,0.0002630081322810361
303,1.5962940036118831
304,-0.008104640105708447
305,-0.1928485177947652
306,0.03387169156763592
