,Entropy
806,7.68739226465873
805,7.54785259979227
804,7.20881647286173
803,7.60608947798305
802,7.59804731728209
801,7.7868411464636
800,7.59326126254358
799,7.40366455600914
798,7.5172386457405
797,7.79450067793981
796,5.9691892021207
795,4.3778445624918
794,7.19018582540032
793,7.23511772842656
792,6.29244643168438
791,7.1368886554783
790,6.2820711395739
789,7.02512393364061
788,6.52711529483785
787,6.72540366282141
786,7.78543522325863
785,6.92996780686234
784,7.38687972324638
783,5.67258799706891
782,7.77777200440664
781,6.72089532999602
780,7.66457333045243
779,3.42572759224958
778,4.31797363037458
777,7.20210663488182
776,6.50838159033147
775,7.43365305711192
774,7.6298889448869
773,7.04237038674555
772,7.73548006525309
771,7.24179603823795
770,6.99841064061432
769,7.87336936067686
768,7.41403338161545
767,6.51773729812938
766,6.9797862703137
765,5.93720078079888
764,4.80405919256271
763,7.6494069956255
762,6.96242805166952
761,7.72742525744178
760,6.7874215012854
759,7.80593052866228
758,7.50233790675344
757,7.3272682005887
756,7.77332718419501
755,7.66455987204122
754,7.93680717460507
753,7.19151357546063
752,7.3482950826343
751,7.00216007655145
750,7.12872636736907
749,7.68849502637971
748,7.02047719200909
747,7.63522495530046
746,7.68722342692656
745,7.90388276965559
744,7.40008688932344
743,6.79370859755492
742,7.40156869151406
741,7.69334644312429
740,7.82698091374233
739,3.35131463337818
738,6.03979168611817
737,6.99998683631717
736,6.49714258516845
735,7.53591737193278
734,7.53914900670404
733,7.6604898261874
732,7.68465340796721
731,7.58308844199368
730,7.66220723335965
729,7.81897522157276
728,7.43379242209271
727,6.32903426055036
726,7.36087413756537
725,6.94702217869445
724,7.42183476425321
723,7.57465912214671
722,7.24700424399885
721,5.02410874661857
720,7.54810572430186
719,5.19060592111807
718,6.0367401761295
717,5.38705508296635
716,6.30130633983523
715,7.4132131767157
714,7.05497793234242
713,7.48563163994851
712,6.22179720540143
711,6.73209367559504
710,6.74993521548122
709,7.47691894972207
708,7.82362996855881
707,7.51340042505168
706,6.26725853388934
705,7.6000839133283
704,7.10132129870115
703,6.17658792902964
702,5.46180793247444
701,6.53885225214499
700,7.36734404436323
699,7.59570640900122
698,7.61809242486823
697,7.78598691590228
696,7.80850762702604
695,5.47556333071404
694,5.71240395341739
693,7.26262710643232
692,7.36952899403747
691,4.9973369346505
690,6.20608757516656
689,7.87279936841573
688,6.37265477012538
687,5.4519123622735
686,5.99991191513509
685,6.40589400228278
684,3.72111123540465
683,7.72943909012534
682,6.85632921312996
681,6.71270020918966
680,5.40572769546377
679,7.61621221150104
678,6.06745787914203
677,4.92712525505726
676,7.11852302086747
675,7.57931886199839
674,5.50871911096864
673,7.71445701216239
672,7.50917140098388
671,7.64371643631591
670,7.64860451471936
669,6.70623424684845
668,7.77687879911954
667,7.24292365613175
666,7.4370408051635
665,7.40087805313135
664,5.29506893151871
663,6.66485226559936
662,7.2967511090449
661,5.84908170917125
660,5.0933245624958
659,7.33191650446087
658,6.66124686626135
657,6.12985280556255
656,5.7922634287876
655,6.65559221442217
654,6.10001964963101
653,7.59661238183058
652,7.39431500588341
651,7.650076131834
650,3.50006877332345
649,7.74605960874811
648,7.89396730319754
647,5.94712811135089
646,7.54540929313697
645,7.20168805778447
644,7.38065802974248
643,7.67886549827506
642,7.38808251768413
641,6.72791778044938
640,6.33675378628877
639,5.94183747438185
638,6.61162057966228
637,5.75901252672474
636,6.75026624905703
635,7.75166434882533
634,4.94269141205099
633,7.39106125608939
632,5.64606572373237
631,7.66964315980898
630,6.53541690149543
629,7.82408035787894
628,6.85261588357974
627,7.48696821468938
626,7.68305568791647
625,5.77237817141742
624,7.87077139489868
623,7.74348613361631
622,6.26870611313714
621,5.9408051090606
620,6.65904821746287
619,7.92055115218924
618,6.26289321419565
617,7.06212575275831
616,6.89136319661815
615,7.84150754220837
614,7.35663609608618
613,7.41223748170724
612,6.95113281146937
611,5.90122779571027
610,5.87081653330857
609,5.49936155696066
608,7.92075635443591
607,7.47693897658752
606,6.13235180022672
605,7.05973250108086
604,5.80591953526809
603,6.25214809699192
602,7.72821253559236
601,7.90759920662584
600,6.56138718128486
599,7.8348050551583
598,5.98340952735079
597,7.90010098889343
596,7.51308781267628
595,5.43733294446364
594,7.91433140732504
593,5.80583767578242
592,5.44807435571158
591,5.46787758828841
590,7.72285417900198
589,5.6314118039933
588,6.97114967619744
587,5.34171976725463
586,7.59592862545862
585,6.14723438227093
584,7.61372561037933
583,7.21406321586158
582,7.3625856311533
581,6.14671459866049
580,7.76542796347363
579,6.82680224594834
578,5.96789965067266
577,7.55756433505647
576,7.37552484669778
575,6.62108024119895
574,6.47354552815871
573,7.53291774862048
572,6.62821566324414
571,6.29631323899084
570,7.47818204657657
569,5.58697862687552
568,5.38409197188738
567,5.91808331562375
566,5.496711170345
565,5.53360686586075
564,7.50138242743238
563,5.60578304500028
562,7.77887794034005
561,5.53388090425734
560,7.58687925876691
559,7.61984016620151
558,7.24086640452761
557,7.89463467541355
556,6.41908682312761
555,6.70274896797994
554,6.09758462706485
553,5.6210560558168
552,7.47999939700283
551,7.5288518215536
550,5.59922641620794
549,7.69517868372832
548,7.74206392546183
547,6.54992658605648
546,6.18731554086269
545,6.39679207457902
544,6.20830959778635
543,6.86009983392997
542,7.29599802233859
541,7.24666150042431
540,7.11369414955089
539,5.39705517043081
538,6.05020244434676
537,7.45759939412318
536,5.63799656743782
535,7.79056747372716
534,5.90128181211462
533,5.95733456460036
532,7.7467866730046
531,5.84179510959084
530,6.17451589799336
529,7.59076402277323
528,5.88786171189797
527,7.48732033730181
526,5.69919634147007
525,6.43494059445034
524,6.54260752481283
523,6.71658639658788
522,7.61858876193862
521,6.95593751529585
520,5.42196963329046
519,7.29341544392047
518,6.60399601440768
517,5.24325241417612
516,6.70400778367531
515,4.49004779603536
514,6.87477360393523
513,7.32187375801436
512,7.36143737635544
511,5.41050036073667
510,7.24006748928213
509,6.37531481602227
508,6.92520684778577
507,7.62012099786616
506,5.74697494615343
505,6.65858195522339
504,5.90838100202065
503,7.63619305128013
502,7.66542303795988
501,7.337597498989
500,7.51671924999597
499,6.38717993617464
498,7.33118137082998
497,7.64603041145601
496,5.88099896294962
495,5.57671252232406
494,5.73599027023805
493,7.76784889299218
492,7.71876139437201
491,7.63683498692649
490,7.35037522151985
489,7.36731043795083
488,6.38824425423508
487,7.40077134890195
486,7.41340278271941
485,7.51785624253335
484,7.78682890471721
483,7.38130221144693
482,7.65573933508008
481,5.09364733383918
480,7.5237337544726
479,7.19398565692011
478,5.35156753254515
477,7.46026011557209
476,6.79919122510003
475,7.86326850888906
474,7.61542218055821
473,7.46484664733898
472,7.85938955680072
471,7.44349007491044
470,6.21923705514233
469,7.92073940455504
468,7.5653940789211
467,7.40507751888956
466,7.54604923167744
465,5.93457744648073
464,7.80415589353277
463,7.28661313020369
462,7.78710075453077
461,7.4697195838653
460,5.15692721683023
459,7.94936416087295
458,7.24266386411763
457,5.42149294407147
456,7.55956238034112
455,5.66359139184759
454,7.6298391834196
453,7.94098140643209
452,7.86450074018512
451,7.38841459840811
450,4.99933230748206
449,6.22388054301138
448,7.53083462359011
447,5.00574154207979
446,7.75174107525533
445,5.79488249707219
444,7.30713252637548
443,6.13434661647915
442,7.90210818476352
441,7.62825173851345
440,5.69194135210041
439,7.59445927649342
438,6.07609578542328
437,7.28696304115603
436,5.73328944531024
435,7.54307091399359
434,5.82807360993812
433,5.88144083854952
432,7.79373595641968
431,7.36482617387682
430,4.61648529126281
429,5.92451924412277
428,7.58084891323453
427,7.72026126293981
426,7.54182388679076
425,7.78882184018299
424,7.52615669844021
423,7.63674539763527
422,7.76977316492109
421,7.71185774393171
420,7.64815687985701
419,7.5611476836815
418,7.39260520793991
417,7.58158701172267
416,7.42834748000352
415,4.86842046513518
414,6.87068605453858
413,7.60528048831617
412,7.58923568183512
411,7.56051240891738
410,7.71642041901408
409,7.43806126157595
408,7.48117194990806
407,7.7476384039775
406,5.90527217291292
405,7.72741899707493
404,7.71619726400313
403,7.67485188488024
402,6.50296477671351
401,7.6546079086872
400,4.56384391446562
399,7.68781409737521
398,7.89493515384448
397,7.64518690048472
396,5.84749914632573
395,7.66852994076592
394,7.26309014971368
393,7.54408253959855
392,6.86490643431472
391,7.53454563086698
390,7.74379663601292
389,7.57834037946101
388,6.59129446348446
387,6.93068722243819
386,5.16719543215383
385,7.56111289806144
384,6.19380089581164
383,7.48983102241209
382,7.55193542247707
381,7.39128268160114
380,7.62106560480723
379,7.75736482461178
378,7.4725867406691
377,5.22214699626552
376,7.52079936957252
375,7.35011925254468
374,7.6191738945655
373,5.67627152551574
372,7.6487051828019
371,4.83547079060696
370,6.88903660164627
369,5.5709727265655
368,5.77003927915121
367,7.64616097325698
