,like_rate_segmentation
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.25
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.25
32,0.0
33,0.25
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.25
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.25
50,0.0
51,0.0
52,0.0
53,0.5
54,0.0
55,0.75
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.25
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.25
69,0.25
70,0.25
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.25
89,0.0
90,0.25
91,0.25
92,0.0
93,0.0
94,0.25
95,0.0
96,0.25
97,0.0
98,0.5
99,0.25
100,0.0
101,0.25
102,0.25
103,0.0
104,0.0
105,0.25
106,0.0
107,0.0
108,0.25
109,0.0
110,0.25
111,0.0
112,0.0
113,0.0
114,0.0
115,0.25
116,0.0
117,0.0
118,0.25
119,0.25
120,0.25
121,0.25
122,0.0
123,0.25
124,0.25
125,0.25
126,0.0
127,0.5
128,0.0
129,0.0
130,0.0
131,0.25
132,0.0
133,0.0
134,0.0
135,0.25
136,0.0
137,0.5
138,0.25
139,0.0
140,0.0
141,0.25
142,0.25
143,0.0
144,0.25
145,0.5
146,0.25
147,0.0
148,0.25
149,0.25
150,0.25
151,0.25
152,0.0
153,0.0
154,0.0
155,0.0
156,0.5
157,0.5
158,0.25
159,0.5
160,0.5
161,0.0
162,0.0
163,0.0
164,0.25
165,0.0
166,0.75
167,0.5
168,0.5
169,0.5
170,0.25
171,0.0
172,0.5
173,0.25
174,0.75
175,0.25
176,0.5
177,0.5
178,0.0
179,0.0
180,0.5
181,0.25
182,0.5
183,0.0
184,0.5
185,0.5
186,0.25
187,0.0
188,0.5
189,0.0
190,0.25
191,0.0
192,0.25
193,0.0
194,0.25
195,0.25
196,0.25
197,0.5
198,0.5
199,0.5
200,0.5
201,0.5
202,0.25
203,0.5
204,0.0
205,0.5
206,0.25
207,0.5
208,0.25
209,0.25
210,0.0
211,0.25
212,0.0
213,0.5
214,0.25
215,0.25
216,0.5
217,0.0
218,0.75
219,0.25
220,0.25
221,0.5
222,0.25
223,0.25
224,0.25
225,0.5
226,0.25
227,0.25
228,0.25
229,0.25
230,0.0
231,0.25
232,0.25
233,0.25
234,0.25
235,0.25
236,0.0
237,0.25
238,0.5
239,0.25
240,0.25
241,0.0
242,0.0
243,0.5
244,0.25
245,0.5
246,0.0
247,0.25
248,0.25
249,0.5
250,0.0
251,0.25
252,0.5
253,0.25
254,0.5
255,0.75
256,0.5
257,0.25
258,0.75
259,0.25
260,0.5
261,0.25
262,0.5
263,0.5
264,0.25
265,0.5
266,0.0
267,0.5
268,0.75
269,0.25
270,0.5
271,0.25
272,0.25
273,0.25
274,0.5
275,0.0
276,0.5
277,0.25
278,0.5
279,0.25
280,0.25
281,0.5
282,0.25
283,0.5
284,0.5
285,0.75
286,0.5
287,0.25
288,0.25
289,0.5
290,0.5
291,0.5
292,0.0
293,0.0
294,0.0
295,0.5
296,0.0
297,0.5
298,0.25
299,0.5
300,0.0
301,0.25
302,0.25
303,0.25
304,0.0
305,0.25
306,0.25
307,0.75
308,0.25
309,0.25
310,0.5
311,0.5
312,0.5
313,0.25
314,0.5
315,0.25
316,0.0
317,0.0
318,0.25
319,0.0
320,0.0
321,0.0
322,0.25
323,0.25
324,0.0
325,0.75
326,0.25
327,0.25
328,0.75
329,0.5
330,0.0
331,0.25
332,0.25
333,0.0
334,0.5
335,0.5
336,0.25
337,0.0
338,0.0
339,0.0
340,0.75
341,0.5
342,0.25
343,0.25
344,0.0
345,0.25
346,0.75
347,0.5
348,0.25
349,0.5
350,0.25
351,0.75
352,0.5
353,0.5
354,0.25
355,0.25
356,0.75
357,0.75
358,0.5
359,0.5
360,0.25
361,0.75
362,0.25
363,0.75
364,0.25
365,0.5
366,0.25
367,0.5
368,0.75
369,0.25
370,0.75
371,0.5
372,0.75
373,0.5
374,0.75
375,0.75
376,0.5
377,0.75
378,0.5
379,0.5
380,0.25
381,0.0
382,0.25
383,0.25
384,0.25
385,0.25
386,0.0
387,0.5
388,0.5
389,0.25
390,0.0
391,0.75
392,0.25
393,0.25
394,0.0
395,0.25
396,0.0
397,0.25
398,0.25
399,0.75
400,0.25
401,0.0
402,0.25
403,0.0
404,0.5
405,0.5
406,0.75
407,0.25
408,0.5
409,0.25
410,0.75
411,0.5
412,0.5
413,0.25
414,0.25
415,0.0
416,0.25
417,0.25
418,0.25
419,0.25
420,0.75
421,0.25
422,0.25
423,0.5
424,0.25
425,0.5
426,0.5
427,0.25
428,0.25
429,0.5
430,0.25
431,0.0
432,0.25
433,0.75
434,0.75
435,0.25
436,0.5
437,0.25
438,0.5
439,0.25
440,0.25
441,0.25
442,0.75
443,0.5
444,0.5
445,0.5
446,0.75
447,0.5
448,0.5
449,0.5
450,0.5
451,0.25
452,0.5
453,0.5
454,0.5
455,0.5
456,0.75
457,0.5
458,0.75
459,0.25
460,0.75
461,0.75
462,0.5
463,0.75
464,0.5
465,0.75
466,0.75
467,0.5
468,0.75
469,0.5
470,0.5
471,0.25
472,0.75
473,0.5
474,0.75
475,0.75
476,0.75
477,0.75
478,0.5
479,0.5
480,0.5
481,0.5
482,0.5
483,0.75
484,0.5
485,0.5
486,0.75
487,0.5
488,0.5
489,0.75
490,0.75
491,0.5
492,0.75
493,0.75
494,0.75
495,0.75
496,0.75
497,0.75
498,0.75
499,0.75
500,0.75
501,0.5
502,0.5
503,0.75
504,0.5
505,0.5
506,0.5
507,0.5
508,0.5
509,0.5
510,0.5
511,0.5
512,0.75
513,0.5
514,0.5
515,0.75
516,0.75
517,0.75
518,0.5
519,0.75
520,0.5
521,0.5
522,0.75
523,0.75
524,0.75
525,0.75
526,0.75
527,0.75
528,0.5
529,0.5
530,0.75
531,0.5
532,0.5
533,0.5
534,0.75
535,0.5
536,0.5
537,0.75
538,0.75
539,0.5
540,0.75
541,0.5
542,0.75
543,0.75
544,0.75
545,0.5
546,0.75
547,0.5
548,0.75
549,0.5
550,0.75
551,0.5
552,0.5
553,0.5
554,0.75
555,0.75
556,0.5
557,0.75
558,0.5
559,0.75
560,0.5
561,0.75
562,0.5
563,0.5
564,0.5
565,0.75
566,0.5
567,0.5
568,0.75
569,0.25
570,0.5
