,like_rate_segmentation
0,0.25
1,0.25
2,0.25
3,0.5
4,0.5
5,1.0
6,0.75
7,0.75
8,0.5
9,0.75
10,0.25
11,0.5
12,0.0
13,0.25
14,0.0
15,0.25
16,0.0
17,0.25
18,0.25
19,0.25
20,0.25
21,0.25
22,1.0
23,0.25
24,0.25
25,0.25
26,0.0
27,0.5
28,0.25
29,0.0
30,0.25
31,0.0
32,0.25
33,0.0
34,0.0
35,0.0
36,0.0
37,0.25
38,0.75
39,0.5
40,1.0
41,0.5
42,0.0
43,0.0
44,0.0
45,0.25
46,0.0
47,0.25
48,0.25
49,0.5
50,0.5
51,0.25
52,0.5
53,0.0
54,0.25
55,0.25
56,1.0
57,0.25
58,0.0
59,0.0
60,0.0
61,0.25
62,0.5
63,0.0
64,0.5
65,0.25
66,0.0
67,0.25
68,0.25
69,0.75
70,0.0
71,1.0
72,0.25
73,0.25
74,0.0
75,0.25
76,0.25
77,0.25
78,0.25
79,0.5
80,0.75
81,0.25
82,0.0
83,0.0
84,0.0
85,0.0
86,0.5
87,0.5
88,0.0
89,0.25
90,0.0
91,0.25
92,0.25
93,0.0
94,0.0
95,0.25
96,0.25
97,0.25
98,0.25
99,0.25
100,0.25
101,0.5
102,0.25
103,0.5
104,0.5
105,0.0
106,0.25
107,0.25
108,0.5
109,0.25
110,0.75
111,0.0
112,0.5
113,0.5
114,0.0
115,0.5
116,0.25
117,0.75
118,0.25
119,0.5
120,0.0
121,0.5
122,0.25
123,0.75
124,0.25
125,0.5
126,0.5
127,0.5
128,0.5
129,0.25
130,0.25
131,0.25
132,0.25
133,0.5
134,0.0
135,0.5
136,0.5
137,0.75
138,0.75
139,0.5
140,0.25
141,0.25
142,0.25
143,0.25
144,0.25
145,0.25
146,0.25
147,0.5
148,0.5
149,0.5
150,0.75
151,0.5
152,0.5
153,0.75
154,0.5
155,0.5
156,0.25
157,0.5
158,0.75
159,0.75
160,0.75
161,0.75
162,0.5
163,0.5
164,0.5
165,0.5
166,1.0
167,0.25
168,0.0
169,1.0
170,0.25
171,1.0
172,0.5
173,0.75
174,0.5
175,0.25
176,0.5
177,0.25
178,0.0
179,0.75
180,0.0
181,0.5
182,0.75
183,0.5
184,0.25
185,0.25
186,0.75
187,0.25
188,0.5
189,0.5
190,0.5
191,0.5
192,0.0
193,0.25
194,1.0
195,0.5
196,0.25
197,0.75
198,0.5
199,0.25
200,0.5
201,0.5
202,0.25
203,0.0
204,0.75
205,0.75
206,0.5
207,0.5
208,0.25
209,0.5
210,0.75
211,0.5
212,0.5
213,0.75
214,0.75
215,0.5
216,0.5
217,0.5
218,0.25
219,1.0
220,0.5
221,1.0
222,0.5
223,1.0
224,0.5
225,0.5
226,0.75
227,0.25
228,0.5
229,0.5
230,0.75
231,1.0
232,0.25
233,0.75
234,0.75
235,0.5
236,1.0
237,0.75
238,0.5
239,0.5
240,0.25
241,0.25
242,0.5
243,0.75
244,0.5
245,0.5
246,0.5
247,0.5
248,0.5
249,0.5
250,0.5
251,1.0
252,0.5
253,0.5
254,0.5
255,1.0
256,0.5
257,0.5
258,0.5
259,0.5
260,0.5
261,0.75
262,0.75
263,0.5
264,0.75
265,0.5
266,1.0
267,0.5
268,0.75
269,1.0
270,1.0
271,0.5
272,0.5
273,0.5
274,0.75
275,1.0
276,0.5
277,1.0
278,1.0
279,0.75
280,0.75
281,1.0
282,0.25
283,0.5
284,0.25
285,1.0
286,0.75
287,0.75
288,0.75
289,0.75
290,0.75
291,0.75
292,0.5
293,0.75
294,1.0
295,0.5
296,0.75
297,0.75
298,1.0
299,0.5
300,0.5
301,1.0
302,0.75
303,0.5
304,0.75
305,0.5
306,0.75
307,0.25
308,0.5
309,1.0
310,1.0
311,0.75
312,0.75
313,0.5
314,0.5
315,0.75
316,0.5
317,0.5
318,0.25
319,1.0
320,0.25
321,0.5
322,0.75
323,0.75
324,0.5
325,0.5
326,0.5
327,0.75
328,0.75
329,0.5
330,0.5
331,0.25
332,0.5
333,0.25
334,0.5
335,0.25
336,0.5
337,0.25
338,1.0
339,0.75
340,1.0
341,0.75
342,0.5
343,0.75
344,0.5
345,1.0
346,1.0
347,0.75
348,0.75
349,0.5
350,0.75
351,0.75
352,0.25
353,0.75
354,0.75
355,1.0
356,0.5
357,0.75
358,0.5
359,0.75
360,0.5
361,0.5
362,0.75
363,1.0
364,0.5
365,0.75
366,0.75
367,1.0
368,0.75
369,1.0
370,0.75
371,1.0
372,1.0
373,0.5
374,1.0
375,1.0
376,1.0
377,1.0
378,0.75
379,0.5
380,1.0
381,1.0
382,1.0
383,0.75
384,1.0
385,0.75
386,1.0
387,1.0
388,0.75
389,1.0
390,0.75
391,0.75
392,1.0
393,0.75
394,0.75
395,0.75
396,0.75
397,1.0
398,1.0
399,1.0
400,0.75
401,0.75
402,0.75
403,1.0
404,0.75
405,0.75
406,0.75
407,0.75
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,0.75
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,0.75
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,0.75
435,1.0
436,0.75
437,1.0
438,0.75
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,0.75
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,0.75
459,1.0
460,0.5
461,1.0
462,1.0
463,1.0
464,0.75
465,0.75
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,0.75
472,1.0
473,0.75
474,1.0
475,1.0
476,0.25
477,0.75
478,0.5
479,1.0
480,0.75
481,1.0
482,1.0
483,1.0
484,1.0
485,0.75
486,1.0
487,0.75
488,1.0
489,0.5
490,0.75
491,0.0
492,0.75
493,1.0
494,1.0
495,1.0
496,0.75
497,1.0
498,0.75
499,0.75
500,0.0
501,1.0
502,1.0
503,1.0
504,0.75
505,0.25
506,1.0
507,1.0
508,0.75
509,1.0
510,1.0
511,1.0
512,0.75
513,0.5
514,0.75
515,0.75
516,0.75
517,0.75
518,0.75
519,1.0
520,1.0
521,0.75
522,0.75
523,0.75
524,0.75
525,0.5
526,0.75
527,0.75
528,0.0
529,1.0
530,1.0
531,0.5
532,0.25
533,0.5
534,0.5
535,0.5
536,0.0
537,1.0
538,0.0
539,0.75
540,0.5
541,0.75
542,0.0
543,0.75
544,0.5
545,1.0
546,0.5
547,0.75
548,0.0
549,0.75
550,0.75
551,0.0
552,0.75
553,0.75
554,0.0
555,0.75
556,0.75
557,0.75
558,0.75
559,0.75
560,0.75
561,1.0
562,0.75
563,1.0
564,0.75
565,0.75
566,0.75
567,1.0
568,0.75
569,0.75
570,1.0
571,1.0
572,1.0
573,0.75
574,0.75
575,0.75
576,0.75
577,0.25
578,0.5
579,1.0
580,1.0
581,1.0
582,1.0
583,1.0
584,1.0
585,0.25
586,0.25
587,1.0
588,0.0
589,0.5
590,0.25
591,1.0
592,1.0
593,0.75
594,0.25
595,0.5
596,1.0
597,0.5
598,0.5
599,1.0
600,0.75
601,0.75
602,0.75
603,0.0
604,0.0
605,0.75
606,1.0
607,0.75
608,0.0
609,0.0
610,0.25
611,0.0
612,0.0
613,1.0
614,0.25
615,0.0
616,0.0
617,0.75
618,0.5
619,0.0
620,0.0
621,0.0
622,0.5
623,0.5
624,0.25
625,0.5
626,0.0
627,0.25
628,0.25
629,0.25
630,0.0
631,0.25
632,0.0
633,0.25
634,0.25
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.25
651,0.25
652,0.25
653,0.25
654,0.25
655,0.5
656,0.0
657,0.0
658,0.25
659,0.5
660,0.0
661,0.0
662,0.25
663,0.25
664,0.0
665,0.0
666,0.0
667,0.0
668,0.25
669,0.0
670,0.0
671,0.0
672,0.25
673,0.0
674,0.0
675,0.25
676,0.0
677,0.25
678,0.0
679,0.0
680,0.0
681,0.0
682,0.25
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.25
691,0.25
692,0.5
693,0.0
694,0.0
695,0.0
696,0.0
697,0.25
698,0.25
699,0.0
700,0.0
701,0.0
702,0.25
703,0.0
704,0.25
705,0.0
706,0.25
707,0.0
708,0.0
709,0.0
710,1.0
711,0.25
712,0.0
713,0.0
714,0.25
715,0.25
716,0.0
717,0.0
718,0.25
719,0.25
720,0.25
721,0.25
722,0.0
723,0.0
724,0.0
725,0.25
726,0.0
727,0.0
728,0.25
729,0.25
730,0.0
731,0.0
732,0.25
733,0.0
734,0.0
735,0.0
736,0.0
737,0.25
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.25
744,0.0
745,0.0
746,0.25
747,0.25
748,0.5
749,0.0
750,0.25
751,0.0
752,0.25
753,0.5
754,0.0
755,0.25
756,0.0
757,0.25
758,0.25
759,0.0
760,0.0
761,0.25
762,0.25
763,0.0
764,0.0
765,0.25
766,0.25
767,0.25
768,0.0
769,0.5
770,0.0
771,0.25
772,0.0
773,0.25
774,0.0
775,0.0
776,0.0
777,0.25
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.5
