,michelson_contrast
0,1.0
1,0.760008896797153
2,1.0
3,1.0
4,1.0
5,1.0
6,0.9898681640625
7,1.0
8,1.0
9,1.0
10,0.9898681640625
11,1.0
12,0.8834269662921348
13,0.7351452464788732
14,0.7433745583038869
15,1.0
16,1.0
17,0.808579335793358
18,0.989828431372549
19,1.0
20,0.9898681640625
21,0.9798151750972761
22,0.9898681640625
23,0.21337090163934413
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.9798151750972761
31,0.8468634686346863
32,1.0
33,0.9898681640625
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,0.9898681640625
42,1.0
43,0.9898681640625
44,1.0
45,1.0
46,1.0
47,0.9698401162790697
48,0.7854091726618706
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,0.9898681640625
55,0.7269736842105263
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,0.9403735632183909
69,1.0
70,0.837890625
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,0.9898681640625
78,1.0
79,1.0
80,1.0
81,1.0
82,0.9301682692307691
83,1.0
84,1.0
85,0.9898681640625
86,1.0
87,0.32104779411764706
88,0.9798151750972761
89,0.9798151750972761
90,0.9211026615969582
91,1.0
92,0.9898681640625
93,1.0
94,0.29059829059829057
95,1.0
96,0.7516622340425532
97,0.9898681640625
98,1.0
99,0.9798151750972761
100,0.959942084942085
101,0.9698401162790697
102,1.0
103,1.0
104,0.9698401162790697
105,1.0
106,0.8650092936802973
107,1.0
108,0.9489419291338581
109,0.9698401162790697
110,1.0
111,0.8468634686346863
112,0.41051136363636354
113,1.0
114,1.0
115,0.34018640350877183
116,0.9898681640625
117,1.0
118,1.0
119,1.0
120,0.6636092150170649
121,0.9698401162790697
122,0.1794571045576408
123,0.9898681640625
124,0.9211026615969582
125,1.0
126,1.0
127,1.0
128,1.0
129,0.7516622340425532
130,0.8468634686346863
131,0.20354959239130432
132,1.0
133,0.9898681640625
134,1.0
135,1.0
136,1.0
137,1.0
138,0.9898681640625
139,1.0
140,1.0
141,1.0
142,0.9698401162790697
143,0.9898681640625
144,1.0
145,0.9898681640625
146,0.4796238244514107
147,0.9115767045454546
148,0.959942084942085
149,0.959942084942085
150,0.989828431372549
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,0.34585777126099704
157,0.9798151750972761
158,1.0
159,0.8834269662921348
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,0.9798151750972761
173,1.0
174,0.7188592657342658
175,1.0
176,0.8559027777777777
177,1.0
178,1.0
179,1.0
180,0.2693661971830985
181,1.0
182,0.9304358237547892
183,1.0
184,1.0
185,0.9798151750972761
186,0.9798151750972761
187,1.0
188,0.5747950819672131
189,1.0
190,0.8927396616541354
191,0.9898681640625
192,1.0
193,0.9798151750972761
194,0.9898681640625
195,0.2799220963172805
196,0.6257340604026845
197,0.0
198,0.959942084942085
199,0.8113636363636363
200,0.9798151750972761
201,0.7516622340425532
202,0.44762731481481477
203,0.7027994791666667
204,1.0
205,0.9798151750972761
206,1.0
207,0.979736328125
208,1.0
209,1.0
210,1.0
211,0.9403735632183909
212,0.9898681640625
213,0.9798151750972761
214,0.959942084942085
215,0.9798151750972761
216,0.9898681640625
217,0.9798151750972761
218,1.0
219,0.8741837686567164
220,0.9898681640625
221,0.989828431372549
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,0.9698401162790697
228,0.7516622340425532
229,1.0
230,0.8834269662921348
231,0.9211026615969582
232,0.4796238244514107
233,1.0
234,1.0
235,0.9898681640625
236,1.0
237,1.0
238,0.9401442307692309
239,1.0
240,1.0
241,1.0
242,1.0
243,0.9403735632183909
244,1.0
245,0.9898681640625
246,1.0
247,1.0
248,1.0
249,0.9798151750972761
250,1.0
251,1.0
252,1.0
253,1.0
254,0.9898681640625
255,1.0
256,0.8559027777777777
257,1.0
258,1.0
259,1.0
260,1.0
261,0.959942084942085
262,0.760008896797153
263,0.9898681640625
264,0.9898681640625
265,0.959942084942085
266,0.9898681640625
267,0.8834269662921348
268,1.0
269,1.0
270,0.9898681640625
271,1.0
272,0.671339897260274
273,0.6407305743243243
274,0.6791237113402062
275,1.0
276,0.9798151750972761
277,1.0
278,1.0
279,0.959942084942085
280,1.0
281,1.0
282,0.9698401162790697
283,0.8559027777777777
284,1.0
285,1.0
286,0.9501201923076923
287,0.9898681640625
288,1.0
289,1.0
290,0.9403735632183909
291,1.0
292,1.0
293,1.0
294,0.9501201923076923
295,0.9403735632183909
296,0.9898681640625
297,0.9898681640625
298,1.0
299,0.9898681640625
300,0.9898681640625
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,0.9307013358778626
308,1.0
309,1.0
310,0.8201414233576643
311,0.9403735632183909
312,0.3747209821428572
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,0.9898681640625
322,1.0
323,1.0
324,1.0
325,0.4166033434650457
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,0.9898681640625
334,0.9698401162790697
335,0.8650092936802973
336,1.0
337,1.0
338,1.0
339,1.0
340,0.5677083333333333
341,1.0
342,1.0
343,1.0
344,0.9898681640625
345,1.0
346,0.6257340604026845
347,0.959942084942085
348,1.0
349,0.9698401162790697
350,0.9798151750972761
351,1.0
352,1.0
353,1.0
354,1.0
355,0.9898681640625
356,0.6109374999999999
357,1.0
358,1.0
359,1.0
360,1.0
361,0.9501201923076923
362,0.9898681640625
363,1.0
364,1.0
365,1.0
366,0.9898681640625
367,0.9021226415094339
368,0.8113636363636363
369,0.9698401162790697
370,0.8113636363636363
371,1.0
372,1.0
373,0.6183110367892977
374,0.9898681640625
375,1.0
376,0.9698401162790697
377,1.0
378,1.0
379,0.9898681640625
380,0.9698401162790697
381,0.9501201923076923
382,1.0
383,1.0
384,0.9115767045454546
385,1.0
386,0.9798151750972761
387,0.9898681640625
388,1.0
389,1.0
390,0.9798151750972761
391,1.0
392,1.0
393,1.0
394,1.0
395,1.0
396,1.0
397,0.9898681640625
398,0.9898681640625
399,0.8559027777777777
400,1.0
401,0.9698401162790697
402,1.0
403,0.9898681640625
404,1.0
405,1.0
406,0.671339897260274
407,1.0
408,1.0
409,0.9403735632183909
410,0.5398185483870968
411,1.0
412,1.0
413,1.0
414,0.9898681640625
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,0.9898681640625
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,0.9898681640625
429,0.802649456521739
430,1.0
431,0.9898681640625
432,1.0
433,1.0
434,0.7351452464788732
435,1.0
436,0.9898681640625
437,1.0
438,1.0
439,1.0
440,1.0
441,1.0
442,0.9898681640625
443,1.0
444,1.0
445,1.0
446,1.0
447,0.9898681640625
448,1.0
449,0.9898681640625
450,0.9898681640625
451,1.0
452,1.0
453,0.2693661971830985
454,0.9898681640625
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,0.9698401162790697
466,1.0
467,1.0
468,1.0
469,1.0
470,0.9698401162790697
471,1.0
472,0.9403735632183909
473,1.0
474,1.0
475,1.0
476,1.0
477,0.9898681640625
478,0.9898681640625
479,1.0
480,0.9898681640625
481,0.9898681640625
482,0.8283547794117647
483,0.6636092150170649
484,1.0
485,0.837890625
486,0.6636092150170649
487,1.0
488,1.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,0.9898681640625
495,1.0
496,1.0
497,0.7433745583038869
498,0.9898681640625
499,0.802649456521739
500,0.9307013358778626
501,0.9798151750972761
502,0.9898681640625
503,0.8201414233576643
504,0.9898681640625
505,0.9898681640625
506,0.9403735632183909
507,1.0
508,1.0
509,1.0
510,0.9897883858267715
511,1.0
512,1.0
513,0.7027994791666667
514,0.8289835164835164
515,1.0
516,1.0
517,1.0
518,0.9307013358778626
519,1.0
520,0.7433745583038869
521,0.959942084942085
522,1.0
523,0.6332070707070706
524,1.0
525,0.8559027777777777
526,0.8559027777777777
527,1.0
528,1.0
529,1.0
530,1.0
531,0.9898681640625
532,0.5536728896103896
533,0.8113636363636363
534,1.0
535,0.5963369205298013
536,0.36307322485207105
537,0.9501201923076923
538,1.0
539,0.7684151785714286
