,michelson_contrast
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.8610066833751044
15,1.0
16,1.0
17,0.9227330779054919
18,0.5543981481481481
19,0.9868706597222223
20,0.8854166666666665
21,1.0
22,1.0
23,1.0
24,0.9305555555555556
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.9721069617335176
31,1.0
32,1.0
33,0.9101993214588635
34,0.8610066833751044
35,1.0
36,1.0
37,0.9868706597222223
38,1.0
39,0.9353632478632479
40,1.0
41,0.3947838513754913
42,1.0
43,1.0
44,0.8489388264669164
45,0.8132716049382716
46,0.9101993214588635
47,1.0
48,1.0
49,0.9480909480909483
50,1.0
51,0.9480909480909483
52,1.0
53,0.9430320150659133
54,0.7669302514193024
55,0.0
56,1.0
57,1.0
58,1.0
59,0.667451904201021
60,0.7993366500829187
61,0.7219224620303757
62,1.0
63,0.7271422714227143
64,0.8132716049382716
65,1.0
66,0.9609173126614987
67,1.0
68,0.6356837606837606
69,0.678191489361702
70,0.9868706597222223
71,0.909855257556407
72,1.0
73,0.9738434932987461
74,0.21271271271271275
75,0.8489388264669164
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,0.897760878749472
83,0.8610066833751044
84,0.883204633204633
85,0.35978835978835977
86,0.8015580155801558
87,1.0
88,1.0
89,0.7219224620303757
90,0.5768385291766587
91,1.0
92,0.412621359223301
93,1.0
94,0.8179398148148149
95,0.9868706597222223
96,1.0
97,0.1523297491039426
98,1.0
99,1.0
100,1.0
101,1.0
102,0.9101993214588635
103,0.8610066833751044
104,0.9227330779054919
105,0.4705942205942206
106,0.6567879499217528
107,1.0
108,1.0
109,1.0
110,1.0
111,0.9867149758454108
112,0.6252419667053812
113,0.7899305555555556
114,0.5363984674329503
115,1.0
116,0.9031778692272521
117,0.7555555555555555
118,0.9480909480909483
119,1.0
120,0.8854166666666665
121,1.0
122,0.6890075128509292
123,0.9738434932987461
124,1.0
125,0.9353632478632479
126,1.0
127,1.0
128,1.0
129,0.667451904201021
130,0.6356837606837606
131,1.0
132,0.5741057838660577
133,0.5943486590038314
134,0.9227330779054919
135,0.6045751633986927
136,1.0
137,1.0
138,0.9738434932987461
139,0.4281442901234567
140,0.8250722841800908
141,1.0
142,1.0
143,1.0
144,0.7482313774448606
145,1.0
146,1.0
147,0.9227330779054919
148,0.9101993214588635
149,1.0
