,laplacian
0,-0.11981004727536647
1,-0.15115883424771964
2,-0.17060714747638406
3,-0.18625810757161065
4,-0.11678556112569287
5,-0.2254986839747927
6,-0.12412453571280058
7,-0.15184579062677486
8,-0.10412650928475872
9,-0.18701600757055425
10,-0.1083287229784555
11,-0.2355736317837252
12,-0.12769687835270485
13,-0.1235648491832456
14,-0.152165559559251
15,-0.1881691533752192
16,-0.18474402834798972
17,-0.1842068578144161
18,-0.07676780129990843
19,-0.06904173234313511
20,-0.21983130842994525
21,-0.18515807352855054
22,-0.1203946621603354
23,-0.1038437567096997
24,-0.07181230514156174
25,-0.2345490136380993
26,-0.14427013270982342
27,-0.13247217213825505
28,-0.1299619408076984
29,-0.14053753536407654
30,-0.2245776788821202
31,-0.1953606058585824
32,-0.15366080640404606
33,-0.08748089159898864
34,-0.2088516493461408
35,-0.1592575878789375
36,-0.18175117346541708
37,-0.05004966611125357
38,-0.16768062954681326
39,-0.13043534667063228
40,-0.14702623718276775
41,-0.11326670588260547
42,-0.1395665994663925
43,-0.10841525159737164
44,-0.1267168838597104
45,-0.13267537474424967
46,-0.12340858551009815
47,-0.11928062762235073
48,-0.13112191184234526
49,-0.2010021156232724
50,-0.1502719715592786
51,-0.1041238040034771
52,-0.10163354741110638
53,-0.1216513269847736
54,-0.09589946191511188
55,-0.2473896682312169
56,-0.17332393178103028
57,-0.11754660063680132
58,-0.1266635194250712
59,-0.1380531420331057
60,-0.17385440900686613
61,-0.15522994973105664
62,-0.07723795402596538
63,-0.15868330185961554
64,-0.08529679561235501
65,-0.06517539384167231
66,-0.09219423408709944
67,-0.1627546932374045
68,-0.1584610097125956
69,-0.07170499798854776
70,-0.1297996236021286
71,-0.18877308261708067
72,-0.06401128297914363
73,-0.20004586448384126
74,-0.19929349568531335
75,-0.11511717064984316
76,-0.14853362816983362
77,-0.13514057422597292
78,-0.16126827384826736
79,0.13473353876302474
80,-0.06599469913112985
81,-0.18156920312739636
82,-0.09748965309259866
83,-0.050488346465730215
84,-0.11904991592648775
85,-0.2090854968058744
86,-0.08252869895441807
87,-0.13059207935363554
88,-0.15193696101572146
89,-0.17587657829350567
90,-0.156561727426301
91,0.0967013050398536
92,-0.10045062785957604
93,-0.1760302945446743
94,-0.2062138770578945
95,-0.21778206798854546
96,-0.17710189854220726
97,-0.18011723882205988
98,-0.11387441640137205
99,-0.1338553999381777
100,-0.06113791055216654
101,-0.18951031257175235
102,-0.21414074885389967
103,-0.17483665706618734
104,-0.14528479973772154
105,-0.17266720551166198
106,-0.1624679266825086
107,-0.1219715487074177
108,-0.20541373958843054
109,-0.19666024559707926
110,-0.15133180455625614
111,-0.14623536026585027
112,-0.10987421614173787
113,-0.13604607624980994
114,-0.16213331851284382
115,-0.15635049053878955
116,-0.1358028687767308
117,6.843120962646128
118,-0.1507222694108275
119,-0.13862642739872358
120,-0.04958857404034317
121,-0.14436094512904124
122,-0.13282585295764462
123,-0.15713335384066587
124,-0.11165927928142964
125,-0.16889731690223775
126,-0.13392249412284926
127,-0.17685143518943364
128,-0.09425542915648533
129,-0.18945094042161686
130,-0.017417908384378303
131,-0.08306714247606199
132,-0.13802234834082816
133,-0.18580164378830802
134,-0.16502266437806093
135,-0.21188969895481605
136,-0.053422120726265586
137,-0.08544161826679217
138,-0.13742034033172573
139,-0.1342930591916069
140,-0.16734573736215588
141,-0.060979707875409586
142,-0.16814854505912935
143,-0.02106613743501119
144,-0.11422773217146115
145,-0.13348462161429486
146,-0.2391510129957064
147,-0.1552290166249424
148,-0.1879832575878927
149,-0.07497013406628965
150,-0.15218223227234054
151,-0.16992029573348072
152,-0.206785531230796
153,-0.1950007076701601
154,-0.2135555600755836
155,-0.08155163370974013
156,-0.02934514891025915
157,-0.2283689987635668
158,-0.21507052381010805
159,-0.11173784262561813
160,-0.21459448905841536
161,-0.09007437138513424
162,-0.1382591221497578
163,-0.2610165705678615
164,-0.16853996614311534
165,-0.1172073649435118
166,-0.1331539502485314
167,-0.07079282416681539
168,-0.11054514856211424
169,-0.14294772272944112
170,-0.1835863770344174
171,-0.16389615085873396
172,-0.1633858034074877
173,-0.12489880433467268
174,-0.19190074422239292
175,-0.06523463562225096
176,-0.06306491817047785
177,-0.09526669447393996
178,-0.1638554404937346
179,-0.16143246076984985
180,-0.13413380048889398
181,-0.12813926576482199
182,-0.08638337009723142
183,-0.11931785506580805
184,-0.14038451878412062
185,-0.1446125420641483
186,-0.1976242611153693
187,-0.212748606603113
188,-0.16906332004637348
189,-0.1668784735580262
190,-0.15878172926886208
191,-0.1445718925175627
192,-0.18045167830142966
193,-0.11049473666971202
194,-0.1040859041243777
195,-0.13206559143725569
196,-0.20574839485501964
197,-0.08680667563723365
198,-0.13352112514130315
199,-0.18261621827376187
200,-0.1498118582011082
